,IWRmultiplier,TBDmultiplier,ShoshoneDMND,ENVflows,XBM_mu0,XBM_mu1,shift
5300555_D,0.063393018,0.002412242,0.006057296,0.004145171,0.583730764,0.045903603,0.006220032
5300767_D,0.015006958,0.000655714,0.009465659,0.004242137,0.310503653,0.128070069,0.268917582
70_ADC049,0.292905863,0.000271622,0.011134991,0.007223516,0.335133518,0.032727905,0.138314862
70_ADC050,0,0,0,0,0,0,0
7000583_D,0.249957879,0.002143212,0.006859986,0.005035448,0.359649425,0.027338868,0.088205368
72_ADC051,0.462893264,0.001285003,0.010078844,0.008584255,0.222601159,0.045785699,0.104191575
72_ADC052,0.57403891,0.001123868,0.007861623,0.007933107,0.161339446,0.033806748,0.062067791
72_ADC053,0.456945433,0.001102877,0.00795201,0.008277328,0.227759153,0.019546647,0.076805451
72_ADC054,0.370275103,0.000614067,0.008031231,0.008055058,0.260375603,0.010899418,0.113119359
72_ADC055,0.438453465,0.001413469,0.007707415,0.007361038,0.29836621,0.012825643,0.054146779
72_ADC056,0.551353079,0.000714609,0.009285208,0.008065292,0.162474482,0.019873621,0.075963409
72_ADC057,0.554676863,0.001042195,0.010045634,0.008705791,0.17638668,0.025453767,0.080175163
72_ADC058,0,0,0,0,0,0,0
72_ADC059,0.694099099,0.001846417,0.008285588,0.007679041,0.1066036,0.023817725,0.038104999
72_ADC060,0.537066894,0.001986671,0.005836575,0.005695508,0.149597028,0.008920931,0.015273894
72_ADC061,0.695269643,0.002110356,0.006525882,0.007791979,0.134256821,0.015598961,0.0150317
72_ADC062,0.796004851,0.003405393,0.006871831,0.010431524,0.066179958,0.015038091,0.038562019
72_ADC063,0.722218244,0.001935202,0.006458394,0.009663105,0.081573055,0.011020222,0.02510306
72_ADC064,0.468737104,0.001898263,0.009452174,0.0118289,0.161249663,0.043900426,0.131611374
72_ADC065,0,0,0,0,0,0,0
7200512_D,0,0,0,0,0,0,0
7200646_I,0.543118621,0.001757505,0.003761382,0.023864466,0.199623007,0.004388652,0.005809347
7200730_D,0.330999438,0.002060284,0.010628065,0.007397492,0.327015045,0.041560776,0.080339055
7200764_I,0.307723321,0.000324616,0.010137728,0.00568881,0.314338914,0.01243262,0.081355105
7200766_I,0.716882179,0.001526122,0.007842907,0.009688549,0.047137585,0.020163185,0.04324863
7200852_D,0.432890517,0.000967337,0.009333087,0.006393128,0.20767772,0.014933402,0.066822644
