,IWRmultiplier,RESloss,TBDmultiplier,M_Imultiplier,ShoshoneDMND,ENVflows,EVAdelta,XBM_mu0,XBM_sigma0,XBM_mu1,XBM_sigma1,XBM_p00,XBM_p11,shift,Controlvariable
3600507,0.012835739132241949,0.013789007840474128,0.013434235402023795,0.012663895685683236,0.01881618021430164,0.009547480694878995,0.010800590380287559,0.022788071322596703,0.013218920038631772,0.016605803094226716,0.014479888991597287,0.029052113346082323,0.010012882249157659,0.022797392301464672,0.013889830503321323
3600603,0.019053654786448646,0.012719173127546736,0.012752019737000023,0.017059226656045846,0.013696027884362028,0.012741367241421121,0.014983316594005012,0.016742702205940797,0.013498648367569794,0.014292105952338187,0.0148220444944425,0.012836741322492068,0.023530119374541476,0.013259817613016266,0.01185272367844368
3600642,0.03154837893870013,0.018782265674549724,0.019861553468002426,0.017823718763028375,0.017043888539198557,0.01456364810026926,0.01566862960730896,0.014996090974319759,0.018965600466365848,0.011666821946043009,0.007535073596503582,0.01068848475899347,0.014884656795200691,0.019756168921568344,0.01140497597819243
3600645,0.027839750942418955,0.009785971137140193,0.011650355096322484,0.012168809816475343,0.00954656676108713,0.00602260131266175,0.013736953261784651,0.032063125959404595,0.011869076091045629,0.013555847725083442,0.011006446907429045,0.01934830920414545,0.018144989019001783,0.02365998906226345,0.009100895166578877
3600658,0.027051270373500014,0.012109428822882323,0.007213015527812859,0.01107739487525355,0.02860073818571832,0.008587165888031573,0.011130475495088336,0.02028130079401327,0.017825012152163568,0.012111487421781194,0.009656004449879458,0.01811951480644964,0.00905004405228809,0.01700500487299785,0.013661931761350877
3600660,0.020430100090981857,0.014566490082944729,0.0173334563133214,0.010923844742388023,0.00909713715570278,0.012493690851226192,0.011258982428656358,0.00934619439905763,0.015279129063906209,0.014932116994135224,0.011052710973498638,0.014055914704630357,0.008405522870410484,0.010765721985892896,0.013093149638948795
3600671,0.030187435458353094,0.008648655984015664,0.006308024949582546,0.009160259950362392,0.021471427334420732,0.02632218465501606,0.015624862020669225,0.018845559880067787,0.019514515781030976,0.011799094657848305,0.015854249729304576,0.014567500924907145,0.01301026779967416,0.017704747774816204,0.008407731101292925
3600687,0.021869249957686517,0.017217451508488732,0.0119584814723047,0.01750876365002467,0.01892876593648106,0.0190098070666806,0.01296812353853768,0.02200104898972915,0.011196502419987523,0.024081865175209008,0.022481491766859,0.016235616150295184,0.00986138075109013,0.017193689008120818,0.011335179456891723
3600709,0.014295126003116412,0.013889802087798973,0.010797992420198249,0.006791323125895455,0.01436833763235128,0.014205837237385657,0.018801188361932425,0.014765282340862378,0.021028916250326064,0.017936102658481667,0.012534807892602137,0.022175039928171488,0.01881173707295497,0.012152660437704604,0.016716264032717826
3600725,0.01967744804153562,0.0163248894695969,0.01472735608964056,0.010233969627485354,0.012342842563235128,0.016578160432930047,0.01539765601644752,0.019974291795910197,0.016644813126809203,0.013890623971270869,0.014493949488595153,0.014409464503819984,0.01854386772581469,0.009785867586634946,0.0137537290624906
3600728,0.017882472429706794,0.009872345226760698,0.009521610335321078,0.010301817299980564,0.014328089297931057,0.016090012529268217,0.012285863806245587,0.02676006919820369,0.015384442958893537,0.021688741073214345,0.01168506939444295,0.01395247358798042,0.016689648386861388,0.008503843406791514,0.014247560621357009
3600729,0.0260544372794655,0.012776538856192187,0.016957300687803423,0.009195719401197294,0.012040840815884244,0.01732505597365154,0.0198623234381313,0.01816876290422557,0.01655896672692521,0.016619420806137174,0.015028086277323337,0.01524278860031788,0.02385261105048921,0.0175338669288567,0.01662065342813375
3600734,0.020644131445018258,0.010779935242553754,0.009893483549833302,0.008769330641637122,0.013815176982994668,0.012861615426458105,0.01923631864849524,0.030146196927274892,0.014940208866465875,0.01044080629356164,0.01032253207760322,0.016547245754368268,0.017751829079129266,0.015588096149276138,0.01329226213033953
3600765,0.021654351976281874,0.01629941057184453,0.010166982621926262,0.009836815663795209,0.012852970882005935,0.01493893409422033,0.008005839006268792,0.038892917471843085,0.013966330005224296,0.018655442888992874,0.011909169571034887,0.01062093931823833,0.020245445532638653,0.014208288182246103,0.012393263602321571
3600775,0.017308968707470115,0.01486509062402335,0.015664428710953682,0.01742877673660121,0.020997584921440715,0.010062840679977134,0.011144561496687352,0.022180579720266973,0.0171412389015194,0.022153352005004786,0.011640162931474705,0.032590170972845015,0.014896859137858875,0.013372130738716731,0.010874804967669538
3600780,0.03683569912680601,0.021850875818253897,0.018983275113599644,0.014321078368877109,0.02677442702865053,0.01426871509580184,0.010805529238679671,0.04979258079051889,0.02583369894065097,0.011708455864633809,0.02119401346295329,0.03392967004959429,0.023655005119321438,0.026221471069380203,0.01440629083052686
3600796,0.01849174920418729,0.006762003537985431,0.0107076118946063,0.008873878496172794,0.012753483917592044,0.014380661241463387,0.009848725429771549,0.01988129715233562,0.013976445400518156,0.013681256008099843,0.012068342816275326,0.014548639255348059,0.014938588355464015,0.023871682962439238,0.012955893128058331
3600801,0.01668684552584508,0.015951474608941613,0.019627196211653968,0.013451855684117777,0.01570412049177929,0.013295894695624822,0.013158596947318251,0.03240538173588214,0.018868753050711937,0.02213413020336617,0.021976889306782585,0.019721313024122698,0.012512570349836018,0.01833792274840388,0.012833448997101222
3603543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3604512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3604684,0.004354643296887639,0.014317224985033431,0.028458523345039063,0.007204225745160358,0.012318057437415571,0.005655925671931637,0.007669800058177091,0.009441065305607423,0.011974521193289936,0.014586561789329738,0.008413919387630052,0.012887572006945193,0.014835090518934009,0.014410722766130419,0.0063692057458542995
3700519,0.01608022396540517,0.01306945816363904,0.013519327964565757,0.015257666197868341,0.01807565929283226,0.023491897579642502,0.016318337399762163,0.01987046144290139,0.013401366574853276,0.026041454460201213,0.016666637502867718,0.030959976124689,0.023916438040130373,0.013451756758819818,0.01374484310386313
3700539,0.014444189569093557,0.010357190565743564,0.02131507397131369,0.012149324094450714,0.01992557766473488,0.015730239308688866,0.017784912046830022,0.02219376014211961,0.02420647442776204,0.01733614248447523,0.013246875042742572,0.01174278593023818,0.011303312908989978,0.016617175291647666,0.013754670389919506
3700545,0.019583640348674432,0.01146255330965172,0.011402053156331473,0.010741997326368873,0.02790212433867056,0.019222828596840817,0.014115244055191963,0.0178591606981851,0.01205195431479222,0.012278856635741686,0.011953352679020444,0.018838874101183938,0.011335863411382444,0.012551126731305337,0.014353100812373447
3700548,0.009289724543477287,0.010181069934620934,0.011961635597119092,0.013754542036186231,0.02164565804374776,0.016525192908426706,0.011820333958596958,0.025451984590670967,0.01352452936958319,0.01144298445180421,0.01718349621125371,0.019994937396985005,0.016208971208674858,0.019136950643024515,0.014667407204889456
3700560,0.012575487433371479,0.012103188235344592,0.01962663229170966,0.009966687005549915,0.016713435088252876,0.014266561161523375,0.007712905288550684,0.02090995362853873,0.014831569457185787,0.017987741654772404,0.01553708900666302,0.02760650248748015,0.01930761004485756,0.014221266391039506,0.013563403334767318
3700561,0.02011299563593496,0.0129115333774316,0.009829855235937877,0.013028543464298105,0.01295348306010262,0.012034427889187429,0.013107877539342342,0.018352706098287024,0.014740519294888338,0.011419342198975705,0.020919704194216425,0.014814615489922734,0.019517788595829845,0.015266824414966634,0.014404280423865087
