WDID,Admin,Decree,Source
3800715,53306,3,ROARING FORK RIVER
3800715,99999.99999,999,ROARING FORK RIVER
3800720,18977.11832,17.44,CAPITOL CREEK
3800720,99999.99999,999,CAPITOL CREEK
3800740,12359,8.73,ROARING FORK RIVER
3800740,30941.14916,14.82,ROARING FORK RIVER
3800740,99999.99999,999,ROARING FORK RIVER
3800749,31648.14884,9.3,MAROON CREEK
3800749,37552.37102,51.56,MAROON CREEK
3800749,51125,4,MAROON CREEK
3800755,36763,30,CASTLE CREEK
3800757,13661,20,ROARING FORK RIVER
3800757,29484.20209,20,ROARING FORK RIVER
3800757,30941.18506,0.87,ROARING FORK RIVER
3800757,30941.20923,16.5,ROARING FORK RIVER
3800757,36396.3602,1.63,ROARING FORK RIVER
3800757,99999.99999,999,ROARING FORK RIVER
3800798,12889,0.67,ROARING FORK RIVER
3800798,30941.14715,1.9,ROARING FORK RIVER
3800798,32907.31655,0.47,ROARING FORK RIVER
3800798,38137,5,ROARING FORK RIVER
3800798,51864.42155,3,ROARING FORK RIVER
3800798,51864.47968,3,ROARING FORK RIVER
3800798,51867,5,ROARING FORK RIVER
3800798,53873,8,ROARING FORK RIVER
3800798,56614,0.1,ROARING FORK RIVER
3800800,16765.12875,6.3,ROARING FORK RIVER
3800800,30427.19453,1.01,ROARING FORK RIVER
3800800,30941.19818,9.57,ROARING FORK RIVER
3800800,53306,5.6,ROARING FORK RIVER
3800822,13284,2.4,FOURMILE CREEK
3800822,13666,0.6,FOURMILE CREEK
3800822,30941.25336,5.2,FOURMILE CREEK
3800822,37552.37477,3.8,FOURMILE CREEK
3800822,42467,3,FOURMILE CREEK
3800838,11793,1.5,ROARING FORK RIVER
3800838,39617.11793,11.9,ROARING FORK RIVER
3800838,99999.99999,999,ROARING FORK RIVER
3800840,19313.14878,19,CRYSTAL RIVER
3800840,30941.26945,21.5,CRYSTAL RIVER
3800840,99999.99999,999,CRYSTAL RIVER
3800854,15799.14436,3.4,CASTLE CREEK
3800854,32907.15565,65,CASTLE CREEK
3800854,99999.99999,999,CASTLE CREEK
3800861,19164.13351,1.9,CAPITOL CREEK
3800861,19164.14199,3,CAPITOL CREEK
3800861,30604.22435,2.7,CAPITOL CREEK
3800861,30941.25723,5.1,CAPITOL CREEK
3800869,15515.13104,60,CASTLE CREEK
3800869,15515.14376,100,CASTLE CREEK
3800879,12996,5,CATTLE CREEK
3800879,13037,5,CATTLE CREEK
3800880_D,11414,2.6,WEST SOPRIS CREEK
3800880_D,12174,2.2,WEST SOPRIS CREEK
3800880_D,12980,5,WEST SOPRIS CREEK
3800880_D,13788,1.5,WEST SOPRIS CREEK
3800880_D,20539.19509,2,WEST SOPRIS CREEK
3800880_D,37552.37524,32.5,WEST SOPRIS CREEK
3800881,20242.19143,13,CATTLE CREEK
3800881,25086.22641,40,CATTLE CREEK
3800881,99999.99999,999,CATTLE CREEK
3800890,30941.20701,22.89,SNOWMASS CREEK
3800890,99999.99999,999,SNOWMASS CREEK
3800893,13718,1.5,FOURMILE CREEK
3800893,21322.20234,6.5,FOURMILE CREEK
3800893,30941.25336,4.5,FOURMILE CREEK
3800893,50769.46872,8,FOURMILE CREEK
3800893,56978.43596,4.5,FOURMILE CREEK
3800893,56978.46126,5,FOURMILE CREEK
3800893,99999.99999,999,FOURMILE CREEK
3800902,12611,3,CATTLE CREEK
3800902,13395,11,CATTLE CREEK
3800902,15862,2.9,CATTLE CREEK
3800902,46751.42641,10.3,CATTLE CREEK
3800920,25494.11793,0.8,ROARING FORK RIVER
3800920,30941.23845,11.2,ROARING FORK RIVER
3800924,14045,3,WOODY CREEK
3800924,28989.24273,3.5,WOODY CREEK
3800924,28989.28275,0.5,WOODY CREEK
3800924,30941.28641,18,WOODY CREEK
3800925,23107.19978,10.8,CATTLE CREEK
3800925,24180.22827,6.1,CATTLE CREEK
3800925,99999.99999,999,CATTLE CREEK
3800930,42491,63,ROARING FORK RIVER
3800930,99999.99999,999,ROARING FORK RIVER
3800939,11444,5.6,THOMPSON CREEK
3800939,11828,4.7,THOMPSON CREEK
3800939,30941.1851,2.21,THOMPSON CREEK
3800939,99999.99999,999,THOMPSON CREEK
3800959,19164.18925,2,SNOWMASS CREEK
3800959,19164.19084,0.1,SNOWMASS CREEK
3800959,30886.17349,4,SNOWMASS CREEK
3800959,30941.19879,7.3,SNOWMASS CREEK
3800959,99999.99999,999,SNOWMASS CREEK
3800966,12095,4,ROARING FORK RIVER
3800966,12875,3.5,ROARING FORK RIVER
3800966,21522.18584,1.28,ROARING FORK RIVER
3800966,30941.18949,0.72,ROARING FORK RIVER
3800966,36616,9,ROARING FORK RIVER
3800966,52230.51963,1.65,ROARING FORK RIVER
3800966,53973,2.6,ROARING FORK RIVER
3800968,11854,5,ROARING FORK RIVER
3800968,13254,2.5,ROARING FORK RIVER
3800968,13468,2,ROARING FORK RIVER
3800968,19719.18012,10.7,ROARING FORK RIVER
3800968,30941.18377,20.06,ROARING FORK RIVER
3800968,30941.18506,0.87,ROARING FORK RIVER
3800968,36396.3602,3,ROARING FORK RIVER
3800968,51499.51416,0.2,ROARING FORK RIVER
3800968,51619,5,ROARING FORK RIVER
3800968,99999.99999,999,ROARING FORK RIVER
3800970,12064,10,CRYSTAL RIVER
3800970,30941.23895,25,CRYSTAL RIVER
3800970,37096,0.2,CRYSTAL RIVER
3800970,99999.99999,999,CRYSTAL RIVER
3800981,20041.19206,58,ROARING FORK RIVER
3800981,51129,1,ROARING FORK RIVER
3800981,99999.99999,999,ROARING FORK RIVER
3800989,11840,1,SOPRIS CREEK
3800989,12232,1.4,SOPRIS CREEK
3800989,13911,0.3,SOPRIS CREEK
3800989,24928.19868,1.8,SOPRIS CREEK
3800989,24928.24601,0.2,SOPRIS CREEK
3800989,30941.26418,7.36,SOPRIS CREEK
3800989,36396.35519,1.35,SOPRIS CREEK
3800989,53691.51286,0.05,SOPRIS CREEK
3800994,12234,2.5,WEST SOPRIS CREEK
3800994,13376,2.3,WEST SOPRIS CREEK
3800994,36396.29371,7.86,WEST SOPRIS CREEK
3800996,30618.1257,6.58,ROARING FORK RIVER
3800996,30941.14761,42.68,ROARING FORK RIVER
3801012,19832.14421,6.2,SNOWMASS CREEK
3801012,30941.17592,20,SNOWMASS CREEK
3801012,30941.23257,1,SNOWMASS CREEK
3801012,42285,6.2,SNOWMASS CREEK
3801018,12866,1.5,CRYSTAL RIVER
3801018,12894,1.96,CRYSTAL RIVER
3801018,13608,1.2,CRYSTAL RIVER
3801018,15379.14336,1,CRYSTAL RIVER
3801018,30941.14715,3.7,CRYSTAL RIVER
3801018,30941.23895,3.04,CRYSTAL RIVER
3801018,54380,5.68,CRYSTAL RIVER
3801018,99999.99999,999,CRYSTAL RIVER
3801038,20239.19006,50,CRYSTAL RIVER
3801038,30941.26945,14.08,CRYSTAL RIVER
3801038,34119,10.92,CRYSTAL RIVER
3801038,99999.99999,999,CRYSTAL RIVER
3801052,26467.22155,5.75,NETTLE CREEK
3801052,41563,3,NETTLE CREEK
3801062,29867.12529,9.94,ROARING FORK RIVER
3801062,30941.1472,21.56,ROARING FORK RIVER
3801066,11936,1.4,RED CANYON
3801073,11127,4,WOODY CREEK
3801073,12480,5.75,WOODY CREEK
3801073,30941.24258,13.19,WOODY CREEK
3801073,32907.31655,15.26,WOODY CREEK
3801073,99999.99999,999,WOODY CREEK
3801078,12950,5,SNOWMASS CREEK
3801078,30941.1331,1,SNOWMASS CREEK
3801078,30941.19844,5.46,SNOWMASS CREEK
3801078,30941.19884,2.44,SNOWMASS CREEK
3801078,30941.2024,2.34,SNOWMASS CREEK
3801078,30941.21064,15.68,SNOWMASS CREEK
3801078,36734,40,SNOWMASS CREEK
3801082,12894,2.84,CRYSTAL RIVER
3801082,27066.26783,1.52,CRYSTAL RIVER
3801082,30941.27149,8,CRYSTAL RIVER
3801096_D,19145.11116,6,CAPITOL CREEK
3801096_D,19145.11505,15,CAPITOL CREEK
3801096_D,49338,2.5,CAPITOL CREEK
3801101,12966,3,WILLOW CREEK
3801101,13635,3,WILLOW CREEK
3801101,15514.1508,30,WILLOW CREEK
3801101,51125,4,WILLOW CREEK
3801101,99999.99999,999,WILLOW CREEK
3801104,13350,13,WILLOW CREEK
3801121,19874.17302,3.86,SNOWMASS CREEK
3801121,99999.99999,999,SNOWMASS CREEK
3801132,12183,2.94,WOODY CREEK
3801132,12543,2.53,WOODY CREEK
3801132,30941.24258,10.8,WOODY CREEK
3801132,99999.99999,999,WOODY CREEK
3801147,13090,3.68,CRYSTAL RIVER
3801147,13434,3.19,CRYSTAL RIVER
3801147,22123.19097,1.77,CRYSTAL RIVER
3801147,36396.35885,12.8,CRYSTAL RIVER
3801147,54380,5.68,CRYSTAL RIVER
3801147,99999.99999,999,CRYSTAL RIVER
3801441,21852.14986,7,SNOWMASS CREEK
3801441,42305,0.37,SNOWMASS CREEK
3801441,42305,4.73,SNOWMASS CREEK
3801441,52013,3.1,SNOWMASS CREEK
3801481,21497.18744,25.4,MESA CREEK
3801481,49346,1,MESA CREEK
3801594,39291.00001,1262,HUNTER CREEK
3801661,45655.38866,15,WOODY CREEK
3801790,12554,1.04,HUNTER CREEK
3801790,14211,13,HUNTER CREEK
3801790,25618.21642,5.59,HUNTER CREEK
3801790,30941.23986,4.31,HUNTER CREEK
3801790,51296,1.2,HUNTER CREEK
3801790,56247.55497,1.2,HUNTER CREEK
3801790,56536,1,HUNTER CREEK
3803713I1,99999,0,COLORADO RIVER
3803713I2,99999,0,COLORADO RIVER
3803713M1,99999,0,COLORADO RIVER
3803713M2,99999,0,COLORADO RIVER
3803713M3,99999,0,COLORADO RIVER
3804613,28394.2611,35,FRYINGPAN RIVER
3804613,28394.27306,25,FRYINGPAN RIVER
3804613,28394.27299,50,FRYINGPAN RIVER
3804613,28394.28365,70,FRYINGPAN RIVER
3804613,99999.99999,999,FRYINGPAN RIVER
3804617,30941.29454,625,LINCOLN CREEK
3804625,39291,900,FRYINGPAN RIVER
3804625,48577.39291,100,FRYINGPAN RIVER
3804625SU,99999.99999,0,FRYINGPAN RIVER
3804717,37825,7.8,THREEMILE CREEK
3804717,38613,6.6,THREEMILE CREEK
38_ADC033,12453,24.82,#N/A
38_ADC033,20235,9.94,#N/A
38_ADC033,19719,20.87,#N/A
38_ADC033,31994,10.39,#N/A
38_ADC033,50823,2,#N/A
38_ADC034,12877,7.4,#N/A
38_ADC034,14516,24.14,#N/A
38_ADC034,18446,15.53,#N/A
38_ADC034,22656,21.22,#N/A
38_ADC034,27918,18.49,#N/A
38_ADC034,39260,5.7,#N/A
38_ADC034,44748,0.3,#N/A
38_ADC034,36333,4.5,#N/A
38_ADC035,14731,2,#N/A
38_ADC035,14458,1.8,#N/A
38_ADC035,13644,0.6,#N/A
38_ADC035,18454,11.71,#N/A
38_ADC035,28220,21.04,#N/A
38_ADC035,99999.99999,999,#N/A
38_ADC036,12869,18,#N/A
38_ADC036,22985,3.95,#N/A
38_ADC036,25847,13.73,#N/A
38_ADC036,29318,15.07,#N/A
38_ADC036,44560,7.5,#N/A
38_ADC036,99999.99999,999,#N/A
38_ADC037,12321,12.2,#N/A
38_ADC037,17606,1,#N/A
38_ADC037,16534,5.1,#N/A
38_ADC037,17667,9.19,#N/A
38_ADC037,17925,30.37,#N/A
38_ADC037,32066,10.5,#N/A
