WDID,Water Source
3706054,GROUNDWATER: BRUSH CREEK
3706055,GROUNDWATER: BRUSH CREEK
3706056,GROUNDWATER: BRUSH CREEK
3706057,GROUNDWATER: BRUSH CREEK
3706058,GROUNDWATER: BRUSH CREEK
3706059,GROUNDWATER: BRUSH CREEK
3706060,GROUNDWATER: BRUSH CREEK
3706061,GROUNDWATER: BRUSH CREEK
3706062,GROUNDWATER: BRUSH CREEK
3706063,GROUNDWATER: BRUSH CREEK
3706064,GROUNDWATER: EAGLE RIVER
3706067,GROUNDWATER: EAGLE RIVER
3706068,GROUNDWATER: EAGLE RIVER
3706069,GROUNDWATER: EAGLE RIVER
3706070,GROUNDWATER: EAGLE RIVER
3706071,GROUNDWATER: EAGLE RIVER
3706072,GROUNDWATER: EAGLE RIVER
3706073,GROUNDWATER: EAGLE RIVER
3706074,GROUNDWATER: EAGLE RIVER
3706075,GROUNDWATER: BRUSH CREEK
3706076,GROUNDWATER: BRUSH CREEK
3706079,ALKALI CREEK
3706080,ALKALI CREEK
3706081,GROUNDWATER: EAGLE RIVER
3706082,GROUNDWATER: EAGLE RIVER
3706083,GROUNDWATER: EAGLE RIVER
3706084,GROUNDWATER: EAGLE RIVER
3706085,GROUNDWATER: EAGLE RIVER
3706086,GROUNDWATER: EAGLE RIVER
3706087,GROUNDWATER: LAKE CREEK
3706088,GROUNDWATER: EAGLE RIVER
3706089,GROUNDWATER: EAGLE RIVER
3706090,GROUNDWATER: EAGLE RIVER
3706091,GROUNDWATER: EAGLE RIVER
3706092,GROUNDWATER: EAGLE RIVER
3706093,GROUNDWATER: EAGLE RIVER
3706094,GROUNDWATER: EAGLE RIVER
3706095,GROUNDWATER: EAGLE RIVER
3706096,GROUNDWATER: EAGLE RIVER
3706097,GROUNDWATER: EAGLE RIVER
3706098,GROUNDWATER: SQUAW CREEK
3706099,GROUNDWATER: SQUAW CREEK
3706100,GROUNDWATER: SQUAW CREEK
3706101,GROUNDWATER: EAGLE RIVER
3706102,GROUNDWATER: EAGLE RIVER
3706103,GROUNDWATER: EAGLE RIVER
3706104,GROUNDWATER: EAGLE RIVER
3706105,GROUNDWATER: EBY CREEK
3706106,GROUNDWATER: EAGLE RIVER
3706107,GROUNDWATER: EAGLE RIVER
3706108,GROUNDWATER: EAGLE RIVER
3706109,GROUNDWATER: EAGLE RIVER
3706110,GROUNDWATER: EAGLE RIVER
3706111,GROUNDWATER: EAGLE RIVER
3706112,GROUNDWATER: EAGLE RIVER
3706113,GROUNDWATER: EAGLE RIVER
3706114,GROUNDWATER: EAGLE RIVER
3706115,GROUNDWATER: EAGLE RIVER
3706116,GROUNDWATER: EAGLE RIVER
3706117,GYPSUM CREEK
3706118,GYPSUM CREEK
3706119,GYPSUM CREEK
3706120,GYPSUM CREEK
3706121,GYPSUM CREEK
3706122,GYPSUM CREEK
3706123,GYPSUM CREEK
3706124,GYPSUM CREEK
3706125,BEARD CREEK
3706126,GROUNDWATER: SQUAW CREEK
3706127,GROUNDWATER: BRUSH CREEK
3706128,GROUNDWATER: EBY CREEK
3706129,GROUNDWATER: SPRING CREEK
3706153,TRAVIS CREEK
3706156,HOLLAND CREEK
3706162,LAKE CREEK
3706163,ALKALI CREEK
3706164,GROUNDWATER: EAGLE RIVER
3706166,ALKALI CREEK
3706167,EAGLE RIVER
3706169,GROUNDWATER: SQUAW CREEK
3706170,GROUNDWATER: SQUAW CREEK
3706171,GROUNDWATER: EAGLE RIVER
3706172,GROUNDWATER: EAGLE RIVER
3706173,GROUNDWATER: EAGLE RIVER
3706174,GROUNDWATER: EAGLE RIVER
3706176,GROUNDWATER: EAGLE RIVER
3707112,UNDEFINED
3707206,UNDEFINED
3709017,COLORADO RIVER
3709103,SQUAW CREEK
3709106,EAGLE RIVER
3709114,COLORADO RIVER
3800501,NORTH THOMPSON CREEK
3800502,OTTO CREEK
3800503,FRYINGPAN RIVER
3800504,FRYINGPAN RIVER
3800505,FRYINGPAN RIVER
3800506,FRYINGPAN RIVER
3800507,FRYINGPAN RIVER
3800510,BLUE CREEK
3800511,BLUE CREEK
3800513,ROARING FORK RIVER
3800514,ROARING FORK RIVER
3800516,FOURMILE CREEK
3800517,ROARING FORK RIVER
3800518,CRYSTAL RIVER
3800519,ROARING FORK RIVER
3800520,ROARING FORK RIVER
3800521,THOMAS CREEK
3800522,CRYSTAL RIVER
3800523,CATTLE CREEK
3800524,DRY WOODY CREEK
3800525,ROARING FORK RIVER
3800526,FRYINGPAN RIVER
3800527,FRYINGPAN RIVER
3800528,ROARING FORK RIVER
3800529,CRYSTAL RIVER
3800530,HUNTER CREEK
3800531,COAL CREEK
3800532,CRYSTAL RIVER
3800533,ROARING FORK RIVER
3800535,PRINCE CREEK
3800536,FOURMILE CREEK
3800537,DRY WOODY CREEK
3800539,RUEDI CREEK
3800540,FRYINGPAN RIVER
3800541,CRYSTAL RIVER
3800542,BLUE CREEK
3800543,CRYSTAL RIVER
3800544,SNOWMASS CREEK
3800545,CAPITOL CREEK
3800546,FRYINGPAN RIVER
3800547,CRYSTAL RIVER
3800550,ROARING FORK RIVER
3800551,HUNTER CREEK
3800552,CASTLE CREEK
3800553,SNOWMASS CREEK
3800555,SOPRIS CREEK
3800556,BRUSH CREEK
3800557,FOURMILE CREEK
3800558,WEST SOPRIS CREEK
3800559,BUFFALO CREEK
3800560,AVALANCHE CREEK
3800561,BRUSH CREEK
3800562,FRYINGPAN RIVER
3800563,BRUSH CREEK
3800567,FRYINGPAN RIVER
3800568,CATTLE CREEK
3800569,CATTLE CREEK
3800571,ROARING FORK RIVER
3800572,CAPITOL CREEK
3800573,CAPITOL CREEK
3800574,CRYSTAL RIVER
3800575,BRUSH CREEK
3800576,CASTLE CREEK
3800577,CASTLE CREEK
3800578,MAROON CREEK
3800579,CENTER CREEK
3800580,COLLINS CREEK
3800581,DRY CREEK
3800582,DRY CREEK
3800583,DRY CREEK
3800584,DRY CREEK
3800585,ROARING FORK RIVER
3800587,SOPRIS CREEK
3800588,AVALANCHE CREEK
3800589,SNOWMASS CREEK
3800590,BRUSH CREEK
3800591,JAKEMAN CREEK
3800592,JAKEMAN CREEK
3800593,FRYINGPAN RIVER
3800594,LITTLE WOODY CREEK
3800595,LITTLE WOODY CREEK
3800596,NORTH THOMPSON CREEK
3800597,NORTH THOMPSON CREEK
3800598,NORTH THOMPSON CREEK
3800599,ROARING FORK RIVER
3800600,NETTLE CREEK
3800601,DOWNEY CREEK
3800602,EDGERTON CREEK
3800603,CRYSTAL RIVER
3800604,CRYSTAL RIVER
3800605,CRYSTAL RIVER
3800606,COLLINS CREEK
3800607,NETTLE CREEK
3800608,NETTLE CREEK
3800611,ROARING FORK RIVER
3800612,HUNTER CREEK
3800613,COULTER CREEK
3800614,ROARING FORK RIVER
3800615,BRUSH CREEK
3800616,SOPRIS CREEK
3800617,ROARING FORK RIVER
3800618,ROARING FORK RIVER
3800619,CASTLE CREEK
3800620,CASTLE CREEK
3800621,SMITH CREEK
3800622,FRYINGPAN RIVER
3800623,CRYSTAL RIVER
3800625,BLUE CREEK
3800626,CENTER CREEK
3800627,LITTLE WOODY CREEK
3800628,SOPRIS CREEK
3800629,FRYINGPAN RIVER
3800630,SOPRIS CREEK
3800632,ROARING FORK RIVER
3800633,FRYINGPAN RIVER
3800635,FOURMILE CREEK
3800636,DEER CREEK
3800637,CATTLE CREEK
3800638,FRENCHMAN CREEK
3800639,CAPITOL CREEK
3800640,CRYSTAL RIVER
3800642,DOWNEY CREEK
3800643,FOURMILE CREEK
3800644,THOMAS CREEK
3800645,HUNTER CREEK
3800646,FRYINGPAN RIVER
3800647,EAST SOPRIS CREEK
3800648,ROARING FORK RIVER
3800649,BRUSH CREEK
3800650,COULTER CREEK
3800651,CRYSTAL RIVER
3800652,WEST SOPRIS CREEK
3800653,SNOWMASS CREEK
3800654,THREEMILE CREEK
3800655,EDGERTON CREEK
3800656,EDGERTON CREEK
3800657,FRYINGPAN RIVER
3800658,FRYINGPAN RIVER
3800659,ROARING FORK RIVER
3800660,SNOWMASS CREEK
3800661,HUNTER CREEK
3800662,CASTLE CREEK
3800663,CRYSTAL RIVER
3800664,SNOWMASS CREEK
3800665,HUNTER CREEK
3800666,OWL CREEK
3800667,CATTLE CREEK
3800668,RUEDI CREEK
3800670,THOMPSON CREEK
3800672,BLUE CREEK
3800673,BLUE CREEK
3800674,CASTLE CREEK
3800675,SPRING CREEK
3800677,MESA CREEK
3800678,EAST SOPRIS CREEK
3800679,THREEMILE CREEK
3800681,ROARING FORK RIVER
3800682,BLUE CREEK
3800683,CATTLE CREEK
3800684,ROARING FORK RIVER
3800685,LANDIS CREEK
3800686,CRYSTAL RIVER
3800687,CRYSTAL SPRING CREEK
3800688,FOURMILE CREEK
3800689,ROARING FORK RIVER
3800690,MAROON CREEK
3800691,LANDIS CREEK
3800694,FRYINGPAN RIVER
3800695,FREEMAN CREEK
3800696,FRENCHMAN CREEK
3800697,LUCHSINGER CREEK
3800698,FRYINGPAN RIVER
3800699,ROARING FORK RIVER
3800700,THOMPSON CREEK
3800701,BRUSH CREEK
3800703,ROARING FORK RIVER
3800704,ROARING FORK RIVER
3800705,ROARING FORK RIVER
3800706,ROARING FORK RIVER
3800707,ROARING FORK RIVER
3800710,DRY WOODY CREEK
3800711,CATTLE CREEK
3800712,ROARING FORK RIVER
3800713,SOPRIS CREEK
3800714,BLUE CREEK
3800715,ROARING FORK RIVER
3800716,ROARING FORK RIVER
3800719,EDGERTON CREEK
3800720,CAPITOL CREEK
3800722,ROARING FORK RIVER
3800723,CATTLE CREEK
3800724,FOURMILE CREEK
3800725,CATTLE CREEK
3800727,FRYINGPAN RIVER
3800728,COLLINS CREEK
3800729,FOURMILE CREEK
3800731,CRYSTAL SPRING CREEK
3800732,FOURMILE CREEK
3800733,LITTLE WOODY CREEK
3800734,LITTLE WOODY CREEK
3800735,ROARING FORK RIVER
3800736,BLUE CREEK
3800737,BLUE CREEK
3800738,BLUE CREEK
3800739,ROARING FORK RIVER
3800740,ROARING FORK RIVER
3800741,SOPRIS CREEK
3800742,SOPRIS CREEK
3800743,HAWK CREEK
3800744,CENTER CREEK
3800745,EDGERTON CREEK
3800746,ROARING FORK RIVER
3800747,CRYSTAL RIVER
3800749,MAROON CREEK
3800750,CATTLE CREEK
3800751,SNOWMASS CREEK
3800752,WEST SOPRIS CREEK
3800753,THOMPSON CREEK
3800754,BLUE CREEK
3800755,CASTLE CREEK
3800756,ROARING FORK RIVER
3800757,ROARING FORK RIVER
3800758,ROARING FORK RIVER
3800759,SOPRIS CREEK
3800760,ROARING FORK RIVER
3800761,CAPITOL CREEK
3800762,OTTO CREEK
3800763,BLUE CREEK
3800764,FRYINGPAN RIVER
3800765,CAPITOL CREEK
3800766,FOURMILE CREEK
3800767,HUNTER CREEK
3800768,HUNTER CREEK
3800769,HUNTER CREEK
3800770,THREEMILE CREEK
3800772,TAYLOR CREEK
3800773,SMITH CREEK
3800774,ROARING FORK RIVER
3800775,FOURMILE CREEK
3800776,FOURMILE CREEK
3800778,ROARING FORK RIVER
3800779,LUCHSINGER CREEK
3800780,EAST SOPRIS CREEK
3800781,EAST SOPRIS CREEK
3800782,JAKEMAN CREEK
3800783,DRY WOODY CREEK
3800784,ROARING FORK RIVER
3800785,CAPITOL CREEK
3800786,EDGERTON CREEK
3800787,ROARING FORK RIVER
3800788,SNOWMASS CREEK
3800790,CASTLE CREEK
3800791,CRYSTAL SPRING CREEK
3800792,CRYSTAL SPRING CREEK
3800793,CRYSTAL SPRING CREEK
3800794,CASTLE CREEK
3800795,LUCHSINGER CREEK
3800796,CRYSTAL SPRING CREEK
3800797,BRUSH CREEK
3800798,ROARING FORK RIVER
3800799,LANDIS CREEK
3800800,ROARING FORK RIVER
3800801,CRYSTAL RIVER
3800804,SOPRIS CREEK
3800805,FRYINGPAN RIVER
3800806,FRYINGPAN RIVER
3800807,CATTLE CREEK
3800808,WEST SOPRIS CREEK
3800809,LANDIS CREEK
3800810,LANDIS CREEK
3800811,LANDIS CREEK
3800812,CRYSTAL RIVER
3800813,ROARING FORK RIVER
3800814,BRUSH CREEK
3800815,ROARING FORK RIVER
3800816,THOMAS CREEK
3800817,CATTLE CREEK
3800818,COULTER CREEK
3800819,EAST SOPRIS CREEK
3800820,EAST SOPRIS CREEK
3800821,CAPITOL CREEK
3800822,FOURMILE CREEK
3800823,FOURMILE CREEK
3800824,LIME CREEK
3800825,SNOWMASS CREEK
3800828,CASTLE CREEK
3800829,OWL CREEK
3800830,LITTLE ELK CREEK
3800831,AVALANCHE CREEK
3800832,AVALANCHE CREEK
3800833,HUNTER CREEK
3800834,ROARING FORK RIVER
3800835,THOMAS CREEK
3800836,HUNTER CREEK
3800837,ROARING FORK RIVER
3800838,ROARING FORK RIVER
3800839,THOMPSON CREEK
3800840,CRYSTAL RIVER
3800841,DRY WOODY CREEK
3800842,LUCHSINGER CREEK
3800843,ROARING FORK RIVER
3800844,SNOWMASS CREEK
3800845,FOURMILE CREEK
3800846,ROARING FORK RIVER
3800847,ROARING FORK RIVER
3800849,DOWNEY CREEK
3800850,ROARING FORK RIVER
3800851,FRYINGPAN RIVER
3800852,SOPRIS CREEK
3800853,CASTLE CREEK
3800855,MAROON CREEK
3800856,MAROON CREEK
3800857,CATTLE CREEK
3800858,WEST SOPRIS CREEK
3800859,LITTLE WOODY CREEK
3800860,CATTLE CREEK
3800861,CAPITOL CREEK
3800862,WARREN CREEK
3800864,CRYSTAL RIVER
3800865,FRYINGPAN RIVER
3800866,THOMAS CREEK
3800867,ROARING FORK RIVER
3800868,BLUE CREEK
3800869,CASTLE CREEK
3800871,ROARING FORK RIVER
3800872,WOODY CREEK
3800873,SOPRIS CREEK
3800874,FOURMILE CREEK
3800875,FRYINGPAN RIVER
3800876,FRYINGPAN RIVER
3800877,ROARING FORK RIVER
3800878,SHIPPEES DRAW
3800879,CATTLE CREEK
3800880,WEST SOPRIS CREEK
3800881,CATTLE CREEK
3800882,OWL CREEK
3800883,CRYSTAL SPRING CREEK
3800884,CAPITOL CREEK
3800885,ROARING FORK RIVER
3800886,DEADMAN CREEK
3800887,CRYSTAL RIVER
3800888,HUNTER CREEK
3800889,SNOWMASS CREEK
3800890,SNOWMASS CREEK
3800891,CRYSTAL RIVER
3800893,FOURMILE CREEK
3800894,SHIPPEES DRAW
3800895,OWL CREEK
3800896,CAPITOL CREEK
3800897,ROARING FORK RIVER
3800898,FRYINGPAN RIVER
3800899,FRYINGPAN RIVER
3800900,WOODY CREEK
3800901,WOODY CREEK
3800902,CATTLE CREEK
3800903,ROARING FORK RIVER
3800904,ROARING FORK RIVER
3800905,MAROON CREEK
3800906,AVALANCHE CREEK
3800907,RED CANYON
3800908,ROARING FORK RIVER
3800909,THOMPSON CREEK
3800910,BLUE CREEK
3800911,ROARING FORK RIVER
3800913,TAYLOR CREEK
3800914,LANDIS CREEK
3800915,ROARING FORK RIVER
3800916,BLUE CREEK
3800917,FRYINGPAN RIVER
3800918,HUNTER CREEK
3800919,OWL CREEK
3800920,ROARING FORK RIVER
3800921,ROARING FORK RIVER
3800924,WOODY CREEK
3800925,CATTLE CREEK
3800926,CRYSTAL RIVER
3800927,COULTER CREEK
3800928,COULTER CREEK
3800929,ROARING FORK RIVER
3800931,ROARING FORK RIVER
3800932,DRY CREEK
3800933,MAROON CREEK
3800934,ROARING FORK RIVER
3800935,THOMPSON CREEK
3800936,FOURMILE CREEK
3800937,SNOWMASS CREEK
3800938,SNOWMASS CREEK
3800939,THOMPSON CREEK
3800940,FOURMILE CREEK
3800941,SNOWMASS CREEK
3800942,SNOWMASS CREEK
3800943,DRY WOODY CREEK
3800944,FRYINGPAN RIVER
3800945,ROARING FORK RIVER
3800946,SNOWMASS CREEK
3800947,SOPRIS CREEK
3800948,PRINCE CREEK
3800949,COULTER CREEK
3800950,RAPID CREEK
3800951,OWL CREEK
3800952,COULTER CREEK
3800953,COULTER CREEK
3800954,ROARING FORK RIVER
3800955,HUNTER CREEK
3800956,HUNTER CREEK
3800957,MAROON CREEK
3800958,HUNTER CREEK
3800959,SNOWMASS CREEK
3800960,COAL CREEK
3800961,THREEMILE CREEK
3800962,CATTLE CREEK
3800963,ROARING FORK RIVER
3800965,BRUSH CREEK
3800966,ROARING FORK RIVER
3800967,SNOWMASS CREEK
3800968,ROARING FORK RIVER
3800969,BLUE CREEK
3800970,CRYSTAL RIVER
3800971,THREEMILE CREEK
3800972,CRYSTAL RIVER
3800973,THREEMILE CREEK
3800974,CAPITOL CREEK
3800977,FRYINGPAN RIVER
3800978,DRY WOODY CREEK
3800979,LIME CREEK
3800980,DOWNEY CREEK
3800981,ROARING FORK RIVER
3800984,CAPITOL CREEK
3800985,YANK CREEK
3800986,SEVEN CASTLES CREEK
3800987,CATTLE CREEK
3800988,TAYLOR CREEK
3800989,SOPRIS CREEK
3800991,ROARING FORK RIVER
3800992,CASTLE CREEK
3800993,CAPITOL CREEK
3800994,WEST SOPRIS CREEK
3800996,ROARING FORK RIVER
3800997,FOURMILE CREEK
3800998,TONER CREEK
3800999,TONER CREEK
3801000,TONER CREEK
3801001,ROARING FORK RIVER
3801002,ROARING FORK RIVER
3801003,SMITH CREEK
3801004,TONER CREEK
3801005,TONER CREEK
3801006,BRUSH CREEK
3801007,ROARING FORK RIVER
3801008,TONER CREEK
3801009,TONER CREEK
3801010,EDGERTON CREEK
3801011,SNOWMASS CREEK
3801012,SNOWMASS CREEK
3801013,SNOWMASS CREEK
3801014,CATTLE CREEK
3801015,SOPRIS CREEK
3801016,WOODY CREEK
3801018,CRYSTAL RIVER
3801019,DIEMER CREEK
3801020,FRENCHMAN CREEK
3801021,DOWNEY CREEK
3801022,DIEMER CREEK
3801023,CAPITOL CREEK
3801024,CATTLE CREEK
3801025,OWL CREEK
3801026,MAROON CREEK
3801027,CATTLE CREEK
3801028,MAROON CREEK
3801029,CASTLE CREEK
3801030,SNOWMASS CREEK
3801031,MESA CREEK
3801032,MESA CREEK
3801033,DRY WOODY CREEK
3801034,COAL CREEK
3801035,DRY CREEK
3801036,CATTLE CREEK
3801037,BLUE CREEK
3801038,CRYSTAL RIVER
3801039,CRYSTAL RIVER
3801040,CASTLE CREEK
3801041,SNOWMASS CREEK
3801042,CASTLE CREEK
3801043,CRYSTAL SPRING CREEK
3801044,THOMAS CREEK
3801045,THOMAS CREEK
3801046,EAST COULTER CREEK
3801047,THOMPSON CREEK
3801050,LITTLE WOODY CREEK
3801051,SOPRIS CREEK
3801052,NETTLE CREEK
3801053,FRYINGPAN RIVER
3801054,THREEMILE CREEK
3801055,BRUSH CREEK
3801056,ROARING FORK RIVER
3801057,WOODY CREEK
3801058,WOODY CREEK
3801060,ROARING FORK RIVER
3801061,ROARING FORK RIVER
3801062,ROARING FORK RIVER
3801063,BRUSH CREEK
3801065,ROARING FORK RIVER
3801066,RED CANYON
3801067,RED CANYON
3801068,PRINCE CREEK
3801069,COAL CREEK
3801070,ROARING FORK RIVER
3801071,THREEMILE CREEK
3801072,FOURMILE CREEK
3801073,WOODY CREEK
3801074,FREEMAN CREEK
3801075,THOMPSON CREEK
3801077,CRYSTAL RIVER
3801078,SNOWMASS CREEK
3801079,SNOWMASS CREEK
3801080,COULTER CREEK
3801081,CAPITOL CREEK
3801082,CRYSTAL RIVER
3801083,FRYINGPAN RIVER
3801084,OWL CREEK
3801085,OWL CREEK
3801086,SOPRIS CREEK
3801087,CASTLE CREEK
3801088,WEST COULTER CREEK
3801089,SMITH CREEK
3801090,ROARING FORK RIVER
3801091,ROARING FORK RIVER
3801092,WILDCAT CREEK
3801093,CRYSTAL RIVER
3801094,LITTLE WOODY CREEK
3801095,CAPITOL CREEK
3801096,CAPITOL CREEK
3801097,CAPITOL CREEK
3801098,SNOWMASS CREEK
3801099,SNOWMASS CREEK
3801100,ROARING FORK RIVER
3801101,WILLOW CREEK
3801102,WILLOW CREEK
3801103,WILLOW CREEK
3801104,WILLOW CREEK
3801105,EDGERTON CREEK
3801106,FRYINGPAN RIVER
3801107,CRYSTAL RIVER
3801109,COLLINS CREEK
3801110,OWL CREEK
3801111,BLUE CREEK
3801112,SNOWMASS CREEK
3801114,ROARING FORK RIVER
3801116,CRYSTAL RIVER
3801117,FOURMILE CREEK
3801118,DOWNEY CREEK
3801119,CATTLE CREEK
3801120,FRYINGPAN RIVER
3801121,SNOWMASS CREEK
3801123,BRUSH CREEK
3801124,THREEMILE CREEK
3801125,ROARING FORK RIVER
3801126,ROARING FORK RIVER
3801127,ROARING FORK RIVER
3801129,ROARING FORK RIVER
3801130,YANK CREEK
3801131,THOMPSON CREEK
3801132,WOODY CREEK
3801133,SHIPPEES DRAW
3801134,MESA CREEK
3801135,WOODY CREEK
3801136,ROARING FORK RIVER
3801140,FOURMILE CREEK
3801141,CRYSTAL RIVER
3801145,BRUSH CREEK
3801146,DOWNEY CREEK
3801147,CRYSTAL RIVER
3801148,MESA CREEK
3801149,EAST SOPRIS CREEK
3801152,ROARING FORK RIVER
3801153,CRYSTAL RIVER
3801154,SOUTH FORK CRYSTAL RIVER
3801155,FOURMILE CREEK
3801156,MAROON CREEK
3801157,FOURMILE CREEK
3801158,MAROON CREEK
3801159,CRYSTAL RIVER
3801160,FRENCHMAN CREEK
3801161,FRENCHMAN CREEK
3801162,FRENCHMAN CREEK
3801163,SOUTH FORK CRYSTAL RIVER
3801164,CRYSTAL RIVER
3801165,CRYSTAL RIVER
3801166,SOPRIS CREEK
3801167,PRINCE CREEK
3801168,PRINCE CREEK
3801169,FOURMILE CREEK
3801170,ROARING FORK RIVER
3801171,ROARING FORK RIVER
3801172,CASTLE CREEK
3801173,CRYSTAL RIVER
3801174,CRYSTAL RIVER
3801175,CASTLE CREEK
3801176,FOURMILE CREEK
3801177,CATTLE CREEK
3801179,ROARING FORK RIVER
3801180,SOPRIS CREEK
3801181,ROARING FORK RIVER
3801184,ROARING FORK RIVER
3801189,FRYINGPAN RIVER
3801190,FRYINGPAN RIVER
3801191,FRYINGPAN RIVER
3801192,FOURMILE CREEK
3801193,FOURMILE CREEK
3801194,BRUSH CREEK
3801198,CRYSTAL RIVER
3801199,ROARING FORK RIVER
3801200,FRYINGPAN RIVER
3801201,FRYINGPAN RIVER
3801202,FRYINGPAN RIVER
3801203,ROARING FORK RIVER
3801204,THOMPSON CREEK
3801205,ROARING FORK RIVER
3801206,CAPITOL CREEK
3801207,ROARING FORK RIVER
3801208,CRYSTAL RIVER
3801209,CRYSTAL RIVER
3801210,CAPITOL CREEK
3801212,BLUE CREEK
3801213,CRYSTAL RIVER
3801215,CRYSTAL SPRING CREEK
3801217,OWL CREEK
3801219,CRYSTAL RIVER
3801220,ROARING FORK RIVER
3801222,NORTH THOMPSON CREEK
3801223,THOMPSON CREEK
3801224,FOURMILE CREEK
3801225,HUNTER CREEK
3801226,ROARING FORK RIVER
3801227,ROARING FORK RIVER
3801229,ROARING FORK RIVER
3801230,ROARING FORK RIVER
3801231,FOURMILE CREEK
3801232,SNOWMASS CREEK
3801234,ROARING FORK RIVER
3801235,CRYSTAL RIVER
3801236,CRYSTAL RIVER
3801237,CARBONATE CREEK
3801238,CASTLE CREEK
3801239,ROARING FORK RIVER
3801240,ROARING FORK RIVER
3801241,SAWYER CREEK
3801242,BRUSH CREEK
3801244,ROARING FORK RIVER
3801247,ROARING FORK RIVER
3801248,ROARING FORK RIVER
3801250,BRUSH CREEK
3801251,CASTLE CREEK
3801252,ROARING FORK RIVER
3801254,CRYSTAL RIVER
3801255,WOODY CREEK
3801259,ROARING FORK RIVER
3801260,CRYSTAL RIVER
3801261,CRYSTAL RIVER
3801262,PRINCE CREEK
3801264,CRYSTAL RIVER
3801265,CRYSTAL RIVER
3801266,ROARING FORK RIVER
3801267,CASTLE CREEK
3801268,COLLINS CREEK
3801269,ROARING FORK RIVER
3801270,FRYINGPAN RIVER
3801271,SOPRIS CREEK
3801272,ROARING FORK RIVER
3801273,CASTLE CREEK
3801274,SNOWMASS CREEK
3801275,FRYINGPAN RIVER
3801276,SOPRIS CREEK
3801277,FRYINGPAN RIVER
3801278,BRUSH CREEK
3801280,CRYSTAL RIVER
3801281,FRYINGPAN RIVER
3801282,FRYINGPAN RIVER
3801283,THREEMILE CREEK
3801284,THOMPSON CREEK
3801285,ROARING FORK RIVER
3801286,ROARING FORK RIVER
3801287,LITTLE ELK CREEK
3801288,FRYINGPAN RIVER
3801289,CAPITOL CREEK
3801290,ROARING FORK RIVER
3801291,CAPITOL CREEK
3801292,CAPITOL CREEK
3801293,LANDIS CREEK
3801294,CRYSTAL RIVER
3801295,ROARING FORK RIVER
3801296,SNOWMASS CREEK
3801297,SNOWMASS CREEK
3801298,SNOWMASS CREEK
3801299,ROARING FORK RIVER
3801300,ROARING FORK RIVER
3801301,CASTLE CREEK
3801302,CASTLE CREEK
3801303,CASTLE CREEK
3801304,LANDIS CREEK
3801305,CASTLE CREEK
3801306,FRYINGPAN RIVER
3801307,ROARING FORK RIVER
3801308,CRYSTAL RIVER
3801309,ROARING FORK RIVER
3801310,CRYSTAL RIVER
3801311,MAROON CREEK
3801312,HUNTER CREEK
3801313,RED CANYON
3801314,ROARING FORK RIVER
3801315,LITTLE WOODY CREEK
3801317,SNOWMASS CREEK
3801318,FOURMILE CREEK
3801319,WATERBURY CREEK
3801320,FOURMILE CREEK
3801321,FOURMILE CREEK
3801322,LUCHSINGER CREEK
3801324,HUNTER CREEK
3801325,CASTLE CREEK
3801326,CRYSTAL RIVER
3801327,CATTLE CREEK
3801330,CASTLE CREEK
3801332,ROARING FORK RIVER
3801333,ROARING FORK RIVER
3801334,CASTLE CREEK
3801335,ROARING FORK RIVER
3801336,FOURMILE CREEK
3801337,ROARING FORK RIVER
3801339,ROARING FORK RIVER
3801340,ROARING FORK RIVER
3801341,CASTLE CREEK
3801342,CRYSTAL RIVER
3801343,ROARING FORK RIVER
3801344,THOMAS CREEK
3801345,RED CANYON
3801348,FOURMILE CREEK
3801349,DRY CREEK
3801350,FRYINGPAN RIVER
3801352,BLUE CREEK
3801353,CAPITOL CREEK
3801354,CASTLE CREEK
3801355,PRINCE CREEK
3801356,CENTER CREEK
3801358,CRYSTAL RIVER
3801359,ROARING FORK RIVER
3801361,ROARING FORK RIVER
3801362,BRUSH CREEK
3801363,DRY WOODY CREEK
3801365,DRY CREEK
3801366,SNOWMASS CREEK
3801367,SNOWMASS CREEK
3801369,BRUSH CREEK
3801370,ROARING FORK RIVER
3801371,CRYSTAL RIVER
3801373,CATTLE CREEK
3801374,CATTLE CREEK
3801375,FRYINGPAN RIVER
3801376,AVALANCHE CREEK
3801378,CASTLE CREEK
3801379,CASTLE CREEK
3801380,THOMPSON CREEK
3801381,FRYINGPAN RIVER
3801382,COULTER CREEK
3801383,ROARING FORK RIVER
3801385,ROARING FORK RIVER
3801386,FRYINGPAN RIVER
3801387,ROARING FORK RIVER
3801389,ROARING FORK RIVER
3801391,ROARING FORK RIVER
3801393,BRUSH CREEK
3801394,ROARING FORK RIVER
3801398,SNOWMASS CREEK
3801399,ROARING FORK RIVER
3801401,LIME CREEK
3801402,LIME CREEK
3801403,ROARING FORK RIVER
3801406,ROARING FORK RIVER
3801408,COAL CREEK
3801409,ROARING FORK RIVER
3801410,CRYSTAL RIVER
3801411,CRYSTAL RIVER
3801412,PRINCE CREEK
3801413,PRINCE CREEK
3801414,PRINCE CREEK
3801415,ROARING FORK RIVER
3801416,FRYINGPAN RIVER
3801417,COAL CREEK
3801419,FOURMILE CREEK
3801420,FOURMILE CREEK
3801421,CASTLE CREEK
3801422,CRYSTAL RIVER
3801423,FRYINGPAN RIVER
3801424,FOURMILE CREEK
3801426,CATTLE CREEK
3801427,TAYLOR CREEK
3801428,BRUSH CREEK
3801431,BRUSH CREEK
