1930	207.	207.	
1930	205.	205.	
1930	233.	233.	
1930	1804.	0.	
1930	32938.	15398.	
1930	52852.	3230.	
1930	38391.	27217.	
1930	12298.	3511.	
1930	2949.	2949.	
1930	2073.	1511.	
1930	421.	421.	
1930	209.	209.	
1931	207.	207.	
1931	205.	205.	
1931	233.	233.	
1931	1804.	1804.	
1931	32938.	19318.	
1931	52852.	25057.	
1931	38391.	36303.	
1931	12298.	12298.	
1931	2949.	2949.	
1931	2073.	1630.	
1931	421.	421.	
1931	209.	209.	
1932	207.	207.	
1932	205.	205.	
1932	233.	233.	
1932	1804.	816.	
1932	32938.	1033.	
1932	52852.	0.	
1932	38391.	13627.	
1932	12298.	8659.	
1932	2949.	2949.	
1932	2073.	1695.	
1932	421.	421.	
1932	209.	209.	
1933	207.	207.	
1933	205.	205.	
1933	233.	233.	
1933	1804.	1804.	
1933	32938.	18818.	
1933	52852.	0.	
1933	38391.	26364.	
1933	12298.	12298.	
1933	2949.	2949.	
1933	2073.	1992.	
1933	421.	421.	
1933	209.	209.	
1934	207.	207.	
1934	205.	205.	
1934	233.	233.	
1934	1804.	1281.	
1934	32938.	1127.	
1934	52852.	46743.	
1934	38391.	38391.	
1934	12298.	12298.	
1934	2949.	2949.	
1934	2073.	1965.	
1934	421.	421.	
1934	209.	209.	
1935	207.	207.	
1935	205.	205.	
1935	233.	233.	
1935	1804.	1804.	
1935	32938.	26767.	
1935	52852.	0.	
1935	38391.	18916.	
1935	12298.	11461.	
1935	2949.	2949.	
1935	2073.	2000.	
1935	421.	421.	
1935	209.	209.	
1936	207.	207.	
1936	205.	205.	
1936	233.	233.	
1936	1804.	0.	
1936	32938.	0.	
1936	52852.	5866.	
1936	38391.	26827.	
1936	12298.	7463.	
1936	2949.	2949.	
1936	2073.	1974.	
1936	421.	421.	
1936	209.	209.	
1937	207.	207.	
1937	205.	205.	
1937	233.	233.	
1937	1804.	1804.	
1937	32938.	0.	
1937	52852.	26767.	
1937	38391.	29774.	
1937	12298.	12298.	
1937	2949.	2949.	
1937	2073.	1897.	
1937	421.	421.	
1937	209.	209.	
1938	207.	207.	
1938	205.	205.	
1938	233.	233.	
1938	1804.	1752.	
1938	32938.	6348.	
1938	52852.	0.	
1938	38391.	13817.	
1938	12298.	10889.	
1938	2949.	2949.	
1938	2073.	2004.	
1938	421.	421.	
1938	209.	209.	
1939	207.	207.	
1939	205.	205.	
1939	233.	233.	
1939	1804.	0.	
1939	32938.	0.	
1939	52852.	19381.	
1939	38391.	35277.	
1939	12298.	12298.	
1939	2949.	2949.	
1939	2073.	2073.	
1939	421.	421.	
1939	209.	209.	
1940	207.	207.	
1940	205.	205.	
1940	233.	233.	
1940	1804.	1804.	
1940	32938.	8832.	
1940	52852.	21701.	
1940	38391.	36129.	
1940	12298.	12298.	
1940	2949.	2949.	
1940	2073.	2073.	
1940	421.	421.	
1940	209.	209.	
1941	207.	207.	
1941	205.	205.	
1941	233.	233.	
1941	1804.	1804.	
1941	32938.	0.	
1941	52852.	11459.	
