Year,Site1,Site2,Site3,Site4,Site5,Site6,Site7,Site8,Site9,Site10,Site11,Site12,Site13,Site14,Site15,Site16,Site17,Site18,Site19,Site20,Site21,Site22,Site23,Site24,Site25,Site26,Site27,Site28,Site29,Site30,Site31,Site32,Site33,Site34,Site35,Site36,Site37,Site38,Site39,Site40,Site41,Site42,Site43,Site44,Site45,Site46,Site47,Site48,Site49,Site50,Site51,Site52,Site53,Site54,Site55,Site56,Site57,Site58,Site59,Site60,Site61,Site62,Site63,Site64,Site65,Site66,Site67,Site68,Site69,Site70,Site71,Site72,Site73,Site74,Site75,Site76,Site77,Site78,Site79,Site80,Site81,Site82,Site83,Site84,Site85,Site86,Site87,Site88,Site89,Site90,Site91,Site92,Site93,Site94,Site95,Site96,Site97,Site98,Site99,Site100,Site101,Site102,Site103,Site104,Site105,Site106,Site107,Site108,Site109,Site110,Site111,Site112,Site113,Site114,Site115,Site116,Site117,Site118,Site119,Site120,Site121,Site122,Site123,Site124,Site125,Site126,Site127,Site128,Site129,Site130,Site131,Site132,Site133,Site134,Site135,Site136,Site137,Site138,Site139,Site140,Site141,Site142,Site143,Site144,Site145,Site146,Site147,Site148,Site149,Site150,Site151,Site152,Site153,Site154,Site155,Site156,Site157,Site158,Site159,Site160,Site161,Site162,Site163,Site164,Site165,Site166,Site167,Site168,Site169,Site170,Site171,Site172,Site173,Site174,Site175,Site176,Site177,Site178,Site179,Site180,Site181,Site182,Site183,Site184,Site185,Site186,Site187,Site188,Site189,Site190,Site191,Site192,Site193,Site194,Site195,Site196,Site197,Site198,Site199,Site200,Site201,Site202,Site203,Site204,Site205,Site206,Site207,Site208
1919,36125,53838,114378,117285,206721,206721,60751,60935,2810,24122,24640,15244,21715,24731,24731,4608,13235,13235,6868,26350,6926,5944,5944,134681,400379,3107,6008,15169,17461,69526,120594,121795,129505,129559,6797,20189,20476,19330,19457,21458,21698,1817,6829,45384,48702,14894,468,14654,82758,83034,1479,3588,28165,70414,2015,38768,43926,47121,56684,63334,201995,201995,10623,282097,16916,16916,22454,300451,9735,309039,311196,22436,12436,12436,349921,350044,12497,6517,363862,1012890,9956,3466,22221,22221,26732,2811,7550,11814,150,54283,69363,13133,3861,2547,14932,8531,42657,15070,12161,37767,115437,32873,32873,20538,39486,224865,241960,11326,19769,290226,29790,41735,22659,22659,24923,33781,394780,1773143,6982,26954,35844,1019,64825,92608,26031,32538,25243,25243,51068,40827,45242,12127,21405,44909,27395,111580,13974,102120,130589,152891,152891,6688,7053,595219,3059,201867,251135,17243,48503,12023,12023,15082,33768,7851,16686,981329,2747282,35358,37260,39753,63726,2024,28231,91957,1514,4466,1007,27050,8934,58760,4246,28034,28034,20605,3822,961,5148,14513,4783,19296,3035286,9002,15845,5853,24541,3108207,4554,15525,39917,59936,1916,36880,36880,10805,9444,22055,13106,13106,2892,6681,1880,8956,214648,6189,6631,1677473,4854905,4647693
1920,58648,87404,208872,214701,394142,394142,87787,88052,3559,30576,31232,19784,28185,34906,34906,7080,21936,21936,11387,43273,9773,9176,9176,262726,735098,4664,8946,23438,27061,102430,169082,170651,177093,177139,11205,33279,33752,34602,34409,35267,35659,2136,8379,56426,66420,17510,627,17230,113939,114767,1871,4543,35627,89069,2603,50087,52446,74435,89541,100045,252680,252680,13724,382816,24158,24158,33437,409381,12050,419506,423120,27764,18585,18585,501775,502807,18676,9738,533528,1652922,17333,6034,38688,38688,45014,2250,6042,9455,349,75901,96985,22865,7496,2675,19103,10915,54579,22600,18239,56642,176558,47533,47533,27801,63159,356434,388333,21140,36896,476330,43090,65382,29592,29592,33822,50346,646251,2823065,13556,40431,48234,1339,92970,132814,39101,48877,37234,37234,71166,57731,63536,17145,28128,63504,38737,157779,22233,162493,207789,247133,247133,8710,9188,858804,4017,300083,364821,45665,86739,17060,17060,21077,45635,9276,20883,1424209,4306184,47581,50139,61997,70210,2227,31105,101315,2855,5646,1130,50968,19989,113872,8004,28606,28606,21024,5469,3494,8901,20279,6689,26968,4840558,18015,31716,6127,33609,4868995,8178,27875,71678,107624,3256,62622,62622,18348,16029,37447,14276,14276,3351,7737,2178,10372,346711,7167,6562,3025538,7945406,7540033
1921,67275,100264,217359,222979,395960,395960,86013,86272,4591,39435,40281,25118,35781,38364,38364,7414,27042,27042,14034,46511,10743,8483,8483,267985,742247,5822,10489,19426,21662,111428,180600,182229,189227,189277,11229,33349,33824,37577,37161,34494,34878,2301,9099,61406,66105,18866,665,18562,109913,110302,2589,6286,49299,123250,3868,74403,80126,88150,106042,118483,348834,348834,20386,445049,26369,26369,32412,472987,12460,484192,486547,28711,21290,21290,547541,547894,21397,11156,597477,1777529,17425,6066,38893,38893,43960,2565,6886,10779,348,60816,77710,22986,7790,3700,20242,11567,57832,23323,18822,58454,181578,54126,54126,28155,63488,368319,400194,21122,36869,489155,43219,65493,32034,32034,36257,52772,661574,2881254,14088,43237,52314,1109,99953,142791,41579,51975,38680,38680,66788,59108,63914,17555,23298,65020,39662,161543,23444,171346,219111,244309,244309,11074,11682,832647,3329,285541,339165,42503,76526,17724,17724,21053,41393,10134,19748,1348679,4407655,51609,54380,66526,69069,2193,30596,99665,2362,4549,1152,42201,19895,97628,6624,29009,29009,21322,5826,3571,8997,30586,10088,40674,4954705,15924,28036,22785,61892,4974582,8156,27791,71468,107307,2616,50322,50322,14742,12882,30092,14077,14077,3519,8128,2288,10894,319859,7527,6547,2758790,7781536,7407334
1922,39802,59317,122094,125107,217846,217846,69136,69344,2970,25516,26063,19548,27848,27743,27743,11636,14713,14713,7637,28036,7769,5287,5287,129297,416992,3241,7351,18195,20906,78401,123743,124810,131183,131229,8123,24130,24474,21628,21943,20659,20889,1816,6755,44770,50410,14892,668,14653,87485,87951,1546,3751,29408,73521,2122,40796,41727,59553,71639,80044,199669,199669,11178,298036,20091,20091,27041,319932,10311,328801,331508,23758,13857,13857,395558,396404,13925,7263,404673,1057765,13164,4588,29388,29388,36966,3836,10301,16120,343,90915,116169,17370,5307,2384,13207,7546,37735,17547,14160,43978,128207,38092,38092,22020,47181,262707,285409,15043,26255,348509,35021,50884,26343,26343,29351,41111,479065,2128190,9599,31979,40169,1006,79511,113585,34337,42921,31976,31976,57438,48442,52798,14388,21107,53287,32506,132391,21557,157540,201457,194601,194601,7645,8065,690543,3015,258424,307004,21046,51867,13244,13244,16259,34686,10679,19391,1139003,3279037,39626,41756,43417,85219,2704,37750,122969,2157,5503,1256,38504,18427,89353,6044,28731,28731,21118,5109,512,6305,39662,13081,52743,3636476,22646,39869,32557,88245,3701448,9683,32999,84855,127411,3462,66574,66574,19505,17042,39811,13418,13418,3185,7354,2070,9856,300169,6811,6616,2308193,6218227,6080722
1923,54543,81288,174421,178888,316471,316471,79702,79940,3834,32909,33613,22814,32500,32561,32561,8800,20291,20291,10532,38621,9117,7147,7147,191190,584745,2676,9985,19046,21310,94571,144315,145485,152310,152359,9650,28654,29061,28890,28908,29900,30233,2026,7849,52657,58908,16604,678,16338,100129,100646,2372,5761,45181,112954,3366,64753,70955,73713,88674,99077,312223,312223,17742,419395,22224,22224,29353,443473,12422,454414,457191,28625,18592,18592,495670,495391,18684,9742,523039,1430004,14364,5003,32063,32063,38923,3414,9163,14341,349,82772,105762,18947,6501,2458,18369,10497,52488,22550,18197,56513,166794,48170,48170,26894,58169,334326,362543,18696,32635,440471,40750,60467,29181,29181,32920,47539,596411,2575380,11757,37846,46824,1255,92253,131789,40611,50764,36257,36257,68041,54828,60266,16285,26347,60312,36790,149844,20742,151602,193864,231165,231165,11764,12410,823366,3763,258351,318993,17333,55808,14232,14232,17995,40997,9026,19899,1303395,3972877,46194,48675,57885,65446,2077,28992,94438,1600,5218,1423,28579,15931,68573,4487,28934,28934,21267,4157,2727,8315,26808,8842,35650,4430246,18680,32888,27539,73810,4460665,6968,23741,61047,91663,2797,53790,53790,15760,13770,32167,14552,14552,3123,7211,2029,9666,258690,6679,6667,2407726,7034921,6896761
1924,51126,76195,160506,164551,289101,289101,65956,66153,3549,30479,31132,20251,28846,30187,30187,6956,19590,19590,10167,36900,8454,6762,6762,197735,548182,3292,8909,16638,18574,87648,139295,140510,147092,147139,8497,25225,25584,28976,28601,26733,27031,1897,7623,51682,55602,15549,725,15301,91897,92219,1891,4593,36031,90077,2661,51172,54295,64835,77994,87143,246230,246230,14021,341380,19008,19008,25475,362069,10567,371289,373809,24346,16379,16379,414311,414302,16459,8583,454745,1354139,12730,4432,28415,28415,32476,3010,8083,12651,314,48727,62264,16793,6234,2204,14706,8404,42021,19052,15375,47748,138218,40187,40187,23219,49439,279139,302795,15676,27359,368267,34385,50915,25187,25187,28321,40576,499941,2206364,11275,35360,43224,967,74447,106352,35867,44834,29808,29808,54302,43888,48077,13034,20304,48278,29449,119946,17031,124481,159182,189925,189925,7854,8285,661065,2903,215844,262572,14364,44014,14018,14018,16921,34642,8485,16862,1053313,3395735,42642,44931,52329,59907,1902,26541,86448,1445,4533,928,25820,13475,61038,4053,28608,28608,21028,2907,2278,6944,14745,4862,19607,3783012,8886,15646,11458,32672,3830270,5417,18460,47468,71274,2232,42893,42893,12569,10980,25650,12327,12327,2877,6641,1870,8904,207133,6154,6532,1996928,6044817,6041937
1925,42330,63083,140246,143948,257938,257938,55764,55932,3322,28539,29150,17903,25503,24808,24808,6547,16544,16544,8586,30816,6946,7714,7714,166600,476990,2159,7754,16043,18115,75351,106737,107476,114852,114904,6883,20442,20733,22909,22666,23334,23592,1613,6083,40471,50839,13214,543,13003,89568,90403,1503,3651,28640,71602,2114,40676,42554,54381,65419,73094,196097,196097,11145,281747,18989,18989,24927,302278,10110,311156,313469,23296,14531,14531,377990,378844,14603,7615,410936,1177030,8900,3100,19867,19867,23717,3103,8334,13041,259,46229,59073,11741,4131,1905,12845,7340,36702,17157,13845,43002,119882,39315,39315,21077,42822,244556,264173,12999,22688,318543,32738,46444,24782,24782,27381,37544,435857,1930706,7469,28017,36880,1058,75294,107561,30883,38602,30641,30641,57443,43501,48087,12918,22217,47854,29189,118888,14652,107093,136948,164949,164949,7532,7945,647923,3173,221976,273111,9781,42224,10814,10814,13987,33384,6949,16117,1050146,3002219,36383,38336,43116,59290,1880,26266,85556,1141,4689,1088,20362,7012,44519,3196,27152,27152,19959,3292,1406,6061,8622,2842,11464,3313935,6545,11524,9052,24973,3379687,4942,16843,43310,65030,1664,32009,32009,9378,8194,19141,12770,12770,2747,6348,1786,8509,178295,5882,6636,1724429,5229883,5144710
1926,60092,89556,202067,207465,373674,373674,74930,75156,4575,39300,40141,24616,35065,31767,31767,8725,22945,22945,11909,41078,8894,9410,9410,256257,697043,3532,11086,17603,19233,109616,140414,141139,154866,154962,9306,27637,28030,32331,31855,34026,34404,1975,8237,56403,66056,16211,538,15951,110493,111292,2544,6179,48458,121144,3502,67325,76111,72538,87262,97499,336164,336164,18448,410325,21631,21631,26073,433108,11287,443474,445204,26008,18682,18682,493190,493296,18774,9789,541373,1640081,12318,4290,27495,27495,30206,3707,9952,15573,324,33364,42631,16249,5466,6093,17142,9796,48978,21996,17753,55132,158855,46985,46985,27200,56829,320635,347364,17712,30916,424948,35197,53874,25088,25088,28630,42479,566709,2469391,9883,31376,38576,849,83020,118600,37176,46468,31834,31834,53311,46067,49741,13684,17804,50675,30912,125901,18051,131920,168694,204467,204467,8145,8592,674259,2545,222715,263693,15553,41553,13276,13276,15821,31361,10198,17544,1058366,3797149,38054,40100,49572,71768,2278,31792,103560,1594,4584,1098,28467,12752,65189,4469,27779,27779,20418,3735,2850,6797,18222,6011,24233,4244115,8386,14767,9960,29568,4284605,7276,24796,63757,95736,2727,52444,52444,15366,13426,31362,12697,12697,2972,6869,1932,9209,232762,6363,6695,1994464,6480871,6423231
1927,49132,73223,162609,166898,298946,298946,67572,67776,3693,31715,32394,19878,28315,30997,30997,9084,18893,18893,9806,34881,8679,7911,7911,199742,561760,3080,8897,19606,22283,85047,138858,140123,133883,133838,9408,27938,28335,28202,28218,29442,29770,2141,7296,46965,56648,17549,579,17267,103821,104621,1947,4735,37128,92815,2728,52468,55679,69769,83930,93777,257414,257414,14376,359849,21388,21388,28408,383061,11760,393363,396097,27095,17331,17331,470601,471562,17416,9081,497464,1366438,11294,3931,25210,25210,32355,2946,7905,12374,396,85733,109548,14897,6323,4772,16000,9145,45715,21628,17456,54206,154911,46156,46156,26418,56179,315473,342323,17790,31053,418906,38344,57107,27865,27865,31425,45333,566958,2484123,11433,36092,44256,1165,90737,129626,40086,50106,36952,36952,66426,55297,60339,16423,24431,60829,37104,151127,18121,132427,169344,209235,209235,8203,8652,779372,3491,258663,314894,15518,51198,14341,14341,17832,39159,8499,18582,1244313,3804406,43659,46006,54292,77751,2468,34442,112193,1682,4657,1277,30071,12552,67942,4721,28302,28302,20801,4657,2437,7515,22354,7371,29725,4252445,13337,23480,14223,44613,4298599,7357,25066,64457,96782,2589,49810,49810,14594,12750,29787,14719,14719,3335,7701,2165,10322,235975,7132,6586,2433478,6800036,6562055
1928,58280,86855,186992,191797,339726,339726,71978,72195,4757,40848,41724,25027,35650,35105,35105,9429,23633,23633,12265,38088,9830,8958,8958,227038,634178,3554,11831,21211,23559,110361,149880,150811,149453,149443,10513,31229,31672,32558,32461,33002,33369,2077,7754,51425,63467,17046,538,16774,112476,113473,2223,5398,42338,105845,3295,63396,67217,77227,92901,103800,294867,294867,17370,388342,22956,22956,29022,412875,12798,424414,426779,29494,19975,19975,502070,502898,20074,10467,537464,1526073,12414,4323,27710,27710,35179,3303,8866,13875,324,89630,114528,16375,7672,5647,17123,9787,48928,24305,19613,60913,169888,50938,50938,29785,62280,346683,375999,19427,33908,460057,37430,57917,27152,27152,31037,46226,614003,2720715,13874,36465,40543,979,91685,130981,41966,52459,35691,35691,60439,51701,55934,15353,20513,56870,34691,141300,18955,138541,177161,220955,220955,7268,7667,749172,2931,243793,291009,14753,44711,13546,13546,16477,34386,10230,18695,1172484,4155393,39995,42144,53712,73647,2337,32627,106274,1637,4868,1406,29251,14379,68258,4592,28634,28634,21047,4689,3403,7770,21530,7100,28630,4657155,13297,23412,5378,29642,4705934,7538,25689,66057,99185,2585,49737,49737,14573,12734,29742,14062,14062,3308,7641,2151,10244,247665,7078,6622,2472625,7172045,6821270
1929,58793,87621,195200,200362,359286,359286,82903,83152,4087,35108,35861,22447,31978,34277,34277,11829,20722,20722,10754,41138,9598,8022,8022,239014,674880,4578,9854,19839,22334,99150,153641,154923,163542,163603,10020,29761,30182,36680,35957,33717,34091,2048,8278,56230,59313,16789,688,16520,97059,97315,1790,4345,34083,85206,2631,50589,50092,77550,93290,104235,237190,237190,13861,357826,24478,24478,32989,384514,12979,395723,399040,29904,19817,19817,497543,499104,19917,10382,558884,1664395,15669,5455,34977,34977,40050,3567,9575,14986,348,60863,77769,20673,6494,2738,15851,9058,45289,24086,19439,60368,168673,50386,50386,28600,62700,348481,379247,20388,35584,464274,40931,62430,28628,28628,32707,48646,627613,2728740,11744,36908,45161,1049,92964,132806,41882,52352,38354,38354,64942,61831,66380,18364,22040,68014,41490,168983,20578,150394,192320,235664,235664,8536,9005,806217,3149,269228,319954,22707,54893,16815,16815,19964,39206,12521,21616,1278969,4196488,44552,46946,56127,83986,2667,37207,121193,2370,5794,1627,42324,20103,98064,6645,28516,28516,20960,5267,2702,9233,29513,9733,39246,4698305,15891,27974,5582,33517,4723289,9724,33138,85210,127945,3589,69053,69053,20232,17677,41293,17049,17049,3457,7987,2248,10708,313910,7400,6592,3068764,7850832,7498422
1930,45494,67801,145302,149021,263509,263509,63117,63309,3784,32498,33194,20894,29766,26869,26869,8283,16285,16285,8453,29941,7523,6438,6438,172931,496685,3226,8843,16923,18944,87869,117383,118077,115898,115882,7379,21912,22223,22181,22183,23669,23934,1728,6838,46164,54232,14174,658,13947,92823,93491,1933,4694,36818,92043,2774,53325,58403,62905,75673,84551,258935,258935,14613,325770,20350,20350,24512,347201,11042,357380,359002,25445,15360,15360,420303,420960,15437,8048,444251,1206462,9414,3279,21014,21014,26573,4332,11627,18196,352,66708,85240,12419,4745,2621,12610,7205,36029,18743,15126,46977,129444,40993,40993,23227,48358,267968,290640,15027,26224,353907,33272,49116,24551,24551,27557,39304,480843,2127334,8578,27747,34405,891,79007,112866,33081,41351,30791,30791,53357,46034,49891,13672,18704,50638,30889,125810,14832,108392,138609,175927,175927,6856,7232,640494,2671,206859,249907,17810,45124,12067,12067,14738,31070,9938,17659,1015723,3304073,33940,35764,41865,68896,2188,30522,99418,1512,3949,1185,27012,10145,59901,4239,28177,28177,20709,3395,1794,5985,16640,5486,22126,3671702,10603,18665,7022,28761,3719426,6529,22256,57229,85929,2283,43881,43881,12858,11233,26241,14008,14008,3245,7497,2111,10050,226172,6946,6622,2099912,5886479,5660466
1931,36328,54143,109641,112304,194288,194288,45139,45274,2501,21486,21947,13987,19925,18132,18132,5205,13459,13459,6985,25095,5078,4526,4526,136098,372073,1757,5705,11713,13212,55736,76250,76733,90284,90381,4967,14750,14961,18126,17775,15419,15590,1306,5285,35913,38018,10716,522,10545,62361,62533,1566,3805,29837,74591,2198,42269,49666,39257,47225,52767,211896,211896,11580,251671,15573,15573,17819,267826,7442,274803,275678,17148,11658,11658,286072,285483,11715,6108,317672,924202,7383,2570,16478,16478,16637,2332,6262,9801,174,14330,18310,9739,2688,1451,8569,4895,24484,11971,9660,30002,82128,27509,27509,15323,30282,169188,182683,8943,15609,220230,22628,32060,18361,18361,20149,27141,302358,1285897,4860,16928,21661,471,50593,72276,20714,25894,22045,22045,33972,33964,36004,10087,9916,37363,22789,92821,9097,66493,85026,105151,105151,5653,5964,397042,1416,126161,148917,7917,22354,7558,7558,8970,17602,4983,9065,611618,2026375,21372,22518,22345,50365,1598,22312,72677,826,4010,1199,14739,5451,32602,2314,25771,25771,18940,2445,198,3265,10664,3515,14179,2202376,3830,6744,7408,17750,2277162,3853,13127,33760,50692,1368,26319,26319,7710,6736,15739,9886,9886,2494,5764,1621,7726,158122,5338,6526,786821,3303183,3393812
1932,42820,63815,143461,147281,264941,264941,67093,67295,2956,25398,25942,16592,23634,26853,26853,10640,15416,15416,7999,30941,7516,6709,6709,170692,499118,3527,7338,15979,18139,72758,128886,130209,122083,122026,8467,25148,25504,27455,27238,24692,24966,1868,6834,45052,52845,15287,731,15043,93012,93643,1729,4196,32912,82286,2380,45788,50084,60791,73129,81709,234327,234327,12545,321318,19055,19055,24988,341914,10347,351027,353338,23837,14708,14708,412285,412938,14781,7708,444274,1248786,12576,4378,28072,28072,33666,3189,8564,13404,353,68876,88008,16590,4988,2746,13550,7743,38712,18876,15234,47312,137912,39894,39894,22751,50832,283578,308912,16787,29300,379416,36704,54408,25505,25505,28861,41986,518848,2220959,9021,32412,41985,1186,82874,118391,34844,43555,34479,34479,64521,53404,58542,15862,24903,58744,35834,145952,17556,128309,164078,198475,198475,7503,7915,747584,3557,261041,318359,15730,52094,15688,15688,19245,40987,10863,21139,1222067,3413991,41419,43644,49580,66404,2110,29416,95820,1888,4912,1501,33699,14408,76482,5289,27753,27753,20400,4911,1832,6547,23972,7903,31875,3801780,12114,21329,6272,29148,3849012,8451,28798,74052,111190,2840,54645,54645,16012,13990,32677,13391,13391,3141,7253,2043,9723,261749,6719,6636,2259256,6394595,6409296
1933,48206,71841,149845,153585,268814,268814,69286,69494,3865,33189,33901,21564,30719,26552,26552,6788,18254,18254,9474,32904,7434,6096,6096,169633,505439,2825,8718,17296,19438,96591,118547,119064,123969,124005,7911,23497,23831,26809,26478,22136,22382,1704,6426,42754,45616,13971,616,13746,77429,77665,1631,3958,31044,77607,2425,46648,50420,60970,73344,81949,227751,227751,12782,321650,18405,18405,24870,341735,9942,350333,352852,22909,14962,14962,398197,398436,15037,7838,434817,1240496,12988,4523,28991,28991,32286,2427,6517,10196,56,40310,51508,17133,6126,1443,13177,7531,37653,18234,14717,45702,128180,38465,38465,22469,46727,260836,282721,14502,25314,342700,34330,49623,25017,25017,27917,39255,468757,2008905,11078,33916,40990,954,72083,102975,30625,38282,29435,29435,53638,45013,49152,13370,20062,49515,30204,123021,16166,118153,151091,179425,179425,7247,7645,640009,2866,206375,252552,13138,42436,12500,12500,15366,32882,6368,14648,1016282,3110585,40437,42609,47726,63519,2018,28139,91658,1374,4272,906,24540,10457,55661,3852,27294,27294,20061,3378,1644,5790,13452,4438,17890,3449771,8336,14675,5922,23476,3498907,5105,17393,44727,67159,1882,36201,36201,10607,9267,21649,11178,11178,2527,5835,1643,7823,208381,5405,6423,1466693,5293850,5435323
1934,22345,33303,73408,75331,134578,134578,36037,36145,2461,21147,21601,12887,18358,19650,19650,3232,11265,11265,5845,18902,5502,4801,4801,111005,279848,2202,5234,11596,13187,52462,85490,86267,95148,95210,4719,14014,14213,11659,11760,14960,15126,1333,4934,32636,35649,10923,455,10748,61343,61588,1334,3240,25400,63501,2003,38482,44998,32127,38648,43182,182386,182386,10543,235958,12814,12814,16244,249662,7346,256299,257635,16931,11457,11457,282848,282745,11512,6005,283613,705211,5446,1896,12156,12156,14001,2230,5988,9371,161,22160,28317,7186,2858,1997,6720,3841,19204,10589,8547,26542,67205,26579,26579,16086,27697,144204,154681,6942,12118,184700,25131,32451,17059,17059,18447,23875,258826,1126225,5168,20222,27018,421,42591,60845,17322,21652,19182,19182,29810,35089,36907,10423,8812,38598,23547,95899,8142,59500,76088,101154,101154,6310,6657,368056,1261,118583,138862,7224,20091,8927,8927,10188,17879,3476,7113,566822,1756883,26653,28085,37255,50361,1598,22311,72672,494,3179,1818,8801,2868,19080,1381,26084,26084,19172,2133,2770,3762,6424,2118,8542,2109578,3302,5813,7051,16289,2160984,2085,7105,18275,27438,536,10309,10309,3018,2640,6165,8070,8070,1830,4225,1192,5666,98026,3916,6667,606924,2960619,3070746
1935,40515,60379,124353,127421,221926,221926,64250,64441,3080,26451,27018,14497,20649,25879,25879,6431,17057,17057,8853,29820,7246,5254,5254,153611,436877,2403,7104,16323,18628,73630,121395,122520,131427,131491,7568,22475,22793,21507,21650,23314,23574,1771,5432,33607,43498,14524,543,14292,84536,85343,1503,3651,28638,71594,2210,42489,46481,52919,63656,71125,208019,208019,11642,273348,17102,17102,21380,291562,9277,299951,301618,21377,12818,12818,361304,362118,12880,6716,375882,1067948,11459,3992,25579,25579,29016,2214,5944,9300,339,41398,52899,15118,4308,912,11570,6611,33056,15200,12264,38091,112189,34812,34812,20339,42550,233005,253044,13277,23177,307551,29999,44002,24578,24578,27234,37614,423206,1790363,7790,27817,35944,951,69112,98730,27842,34803,28539,28539,52511,44025,48126,13074,19963,48426,29540,120321,14214,103880,132841,164186,164186,9353,9867,614415,2853,212558,258291,12971,42065,11876,11876,14716,32063,5569,13769,993958,2796545,35458,37364,45910,56845,1805,25184,82029,1274,2896,1072,22748,9230,51130,3573,27378,27378,20123,3369,2894,5553,11631,3836,15467,3182275,8012,14107,6747,24130,3235155,4713,16057,41293,62001,1526,29363,29363,8604,7517,17558,10800,10800,2674,6168,1737,8272,185394,5716,6620,1386804,4764610,4692490
1936,56188,83738,175696,180106,315954,315954,72429,72647,3831,32906,33612,20174,28736,31559,31559,6059,18929,18929,9824,36423,8837,8288,8288,214534,597088,2734,8568,19224,21889,90424,147928,149282,158065,158127,7874,23388,23721,23519,23540,28629,28948,1826,8339,58460,66795,14964,551,14724,107158,107847,2441,5927,46499,116242,3269,62862,72482,62407,75075,83882,317957,317957,17225,366304,21272,21272,23754,388220,11981,399686,400652,27605,16039,16039,451473,451702,16118,8405,475306,1398819,9913,3452,22132,22132,27832,3726,10008,15660,328,68406,87406,13081,5785,1592,14259,8148,40739,21063,17000,52794,146697,42898,42898,27942,56713,302601,328559,17200,30025,399578,34673,52811,25496,25496,28935,42383,538869,2388069,10461,36936,47520,1079,83575,119393,35228,44036,30592,30592,57887,46509,51178,13814,22627,51159,31207,127108,17021,124399,159077,205491,205491,7332,7733,715948,3233,240571,292649,15356,48398,12362,12362,15595,35348,6515,15853,1146267,3621113,46876,49396,53647,54365,1726,24083,78448,1302,3707,1160,23236,7885,50686,3648,27388,27388,20131,2777,1690,6542,12231,4033,16264,3933628,6625,11663,8951,24962,4024588,4401,14994,38552,57886,1374,26411,26411,7739,6761,15794,11137,11137,2471,5708,1607,7652,159163,5287,6537,1752933,6029059,6134540
1937,37353,55669,107022,109485,185345,185345,77833,78068,2837,24369,24893,13930,19844,22343,22343,7066,12374,12374,6422,24691,6256,4983,4983,118836,381381,2104,5886,14207,16288,58234,101997,103026,109903,109952,7999,23755,24091,22653,22811,17554,17749,1523,4938,31211,46586,12498,564,12300,90551,91821,1387,3372,26441,66098,2133,41011,45381,43663,52528,58690,190762,190762,11237,240737,15518,15518,18605,257057,8524,264940,266144,19643,11068,11068,307313,307646,11123,5801,318048,933046,9602,3342,21433,21433,25667,2680,7196,11260,229,50928,65078,12665,3315,1259,10209,5834,29168,14908,12029,37363,101973,31969,31969,19165,38347,209819,227124,11467,20013,274667,27596,39688,22179,22179,24474,33438,377191,1654217,5993,23964,32254,902,58961,84229,24208,30260,24797,24797,47635,40501,44408,12027,18931,44552,27176,110689,11923,87135,111427,147791,147791,6212,6554,555504,2705,185802,229374,9800,37445,7552,7552,10257,26784,5437,13250,894208,2562930,31820,33529,38782,59049,1876,26160,85209,1110,4146,1195,19821,6893,43403,3112,25788,25788,18955,2870,1659,4329,11825,3901,15726,2877371,7220,12712,6982,23084,2939358,5333,18167,46713,70143,1313,25211,25211,7386,6453,15077,11637,11637,2350,5423,1529,7268,170407,5023,6598,1495932,4558563,4481625
1938,59537,88727,185963,190629,334273,334273,76751,76981,3964,34045,34775,21687,30894,33658,33658,10571,22364,22364,11608,45125,9425,11197,11197,249640,653561,3334,9756,22033,25102,111963,156875,157932,166098,166156,8928,26511,26888,30406,30015,33613,33986,1933,6712,43479,55543,15855,645,15600,101207,102163,1975,4792,37579,93952,2863,55025,60312,70087,84311,94202,273391,273391,15077,370680,19204,19204,25758,391588,11338,401566,404119,26127,15250,15250,465832,466484,15325,7991,505768,1549983,10395,3619,23205,23205,29440,2759,7407,11593,642,75158,96034,13715,6992,4048,16564,9465,47328,20290,16374,50856,156605,45311,45311,25223,56839,320608,349131,18901,32990,429468,40726,60658,21751,21751,25532,40308,578887,2614619,12643,38460,46337,1279,88750,126787,38230,47787,35575,35575,67961,53374,58914,15853,26846,58712,35815,145873,16356,119537,152862,221758,221758,9270,9780,803868,3836,281484,343271,16097,55299,16692,16692,20528,43965,10786,21865,1313436,3981595,45710,48166,55719,73323,2329,32482,105805,1950,4284,1224,34824,16031,80175,5467,32602,32602,23963,5153,2352,8589,23748,7832,31580,4426560,8816,15519,11109,32027,4517651,8500,28968,74490,111846,2970,57113,57113,16733,14621,34154,14065,14065,3477,8030,2261,10762,285550,7436,6658,2453692,7114847,6910389
