Year,ReconCisco,ObservedNaturalCisco,ObservedNaturalStateline
1856,6510847.362,,
1857,6338165.195,,
1858,7695301.104,,
1859,7270486.757,,
1860,8927586.995,,
1861,2345396.765,,
1862,10617115.81,,
1863,4935629.279,,
1864,7064565.299,,
1865,7926354.708,,
1866,10947076.57,,
1867,9615072.808,,
1868,7450465.354,,
1869,7443168.925,,
1870,6244122.324,,
1871,3781982.685,,
1872,8376301.201,,
1873,6194668.746,,
1874,5118040.02,,
1875,6717579.535,,
1876,6651100.954,,
1877,6206829.462,,
1878,5656354.383,,
1879,3733339.821,,
1880,5747965.11,,
1881,6099004.446,,
1882,6387618.773,,
1883,6344650.91,,
1884,9064597.729,,
1885,8574926.23,,
1886,6218990.178,,
1887,2951000.423,,
1888,6065765.156,,
1889,4429743.493,,
1890,7079158.158,,
1891,7118883.164,,
1892,6743522.396,,
1893,5341797.195,,
1894,6125758.022,,
1895,7850958.269,,
1896,3963582.711,,
1897,8771929.83,,
1898,5952265.139,,
1899,5585011.515,,
1900,4505139.932,,
1901,6700554.533,,
1902,2777507.541,,
1903,7835554.695,,
1904,5413950.777,,
1905,7863118.985,,
1906,8237669.039,8042544.407,
1907,8186594.031,8551769.665,
1908,5002918.575,5191264.174,
1909,7702597.533,9030503.426,8083592
1910,5117229.305,6587759.818,4698018
1911,7826636.837,7252027.589,6212922
1912,8292797.618,9363649.825,8348781
1913,6210072.319,6098848.89,5199366
1914,9404287.063,8898464.285,8947045
1915,5762557.969,6026512.718,4480474
1916,7366961.771,8343201.281,6449760
1917,9439958.497,9662084.668,7980332
1918,6696500.961,7353809.239,7134927
1919,6154943.74,5884313.412,4629277
1920,8525472.651,9909082.674,7523734
1921,9346726.341,9803003.954,7388485
1922,6097383.017,7983307.446,6063203
1923,7778804.687,8246131.705,6878702
1924,6513279.506,6930433.375,6023238
1925,5872815.128,6042918.984,5126050
1926,7954729.712,7660882.218,6404143
1927,7918247.564,8471394.361,6543198
1928,7525861.794,8624177.835,6803700
1929,7733404.681,9654045.535,7481802
1930,7482893.93,7244290.464,5642890
1931,5290722.187,3978515.51,3377143
1932,7909329.706,7857245.402,6391454
