,IWRmultiplier,RESloss,TBDmultiplier,M_Imultiplier,ShoshoneDMND,ENVflows,EVAdelta,XBM_mu0,XBM_sigma0,XBM_mu1,XBM_sigma1,XBM_p00,XBM_p11,shift,Controlvariable
3600507,0.144024926343145,0.002390380356500466,0.0007209160639299772,0.002291875374105793,0.011845661560475205,0.005461756191453885,0.003095257719831357,0.12606504868978102,0.007112130189485842,0.028468921172819836,0.00048594212643889316,0.015747595547647236,0.00879183758732834,0.5404175683831336,0.003429995348938012
3600603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600642,0.15409915147651368,0.004611630164260657,0.017079750893076985,0.005195853612028538,0.015965185326704982,0.012315477039572413,0.03890999125130785,0.19173825191586907,0.009304127653118706,0.06080851468808176,0.005759233877590197,0.02585882259540196,0.029218999210420375,0.2976660058602183,0.014060592373560638
3600645,0.30616477884840565,0.0008796437687242074,0.0012857177018488564,0.001219036654596049,0.009974049965377816,0.008941084372488197,0.006521100804775204,0.3198411342992247,0.015451588653034053,0.030340493777157324,0.002314307757917453,0.04828701446362802,0.03861940091577325,0.12014330800534888,0.00655311382534974
3600658,0.19182615954099014,0.0027778059040524184,0.002468428513538091,0.0021479721233536734,0.02551367458896503,0.007735090111235208,0.005692503099940547,0.46756673103720003,0.03844040728282951,0.013132058159154476,0.00583931609629273,0.039886267240386616,0.028380785423436743,0.02392490227026176,0.00047352375269229895
3600660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600671,0.16576548207948907,0.004285747586808212,0.0018229064140628333,0.0041217976542774785,0.035081478469949516,0.007502651671467423,0.012647027471816358,0.5032592270185949,0.02744722468940417,0.020300425285627758,0.007425400697212394,0.05353364401114962,0.031523373834821934,0.021275503754291627,0.004953234948363553
3600687,0.002522938837411251,0.003283501499847986,0.00025367345959130744,0.002438904914931155,0.016094393517487492,0.004348505436287528,0.003803465407576085,0.12215140505681278,0.005783727313007371,0.06285474634211001,0.0037237010357052884,0.025372608910843426,0.01685017182903543,0.7252907120945694,0.002314333596733823
3600709,0.15516268528883606,0.0037658054162427648,0.0020516863936359225,0.0031970630117615804,0.05165942087078552,0.00923398827494271,0.006791653788800268,0.4679690691729481,0.034793980823808024,0.014427301921286443,0.007221327284194353,0.04406481111215133,0.023717249542819386,0.01308068554195747,0.0022200237911576388
3600725,0.13502590621944208,0.004715234306415688,0.002342331925109057,0.00246024240000481,0.01497975600541105,0.007398148463136053,0.005194278952408747,0.4524290189984878,0.04744660800634111,0.011254307838568406,0.0035101212431190893,0.030848063848242343,0.02719457092451789,0.04136669592826806,0.00520946285441564
3600728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600734,0.1340437748957178,0.0036524040416028775,0.0014576016947665672,0.00281403726240045,0.013241418406175863,0.006116409042857617,0.00661349348285608,0.5044257262147699,0.041473135378766256,0.012673571809713098,0.0035387978840844326,0.0378122425821632,0.027214894931693958,0.04239976244883106,0.006270414355385494
