,0
IWRmultiplier,0.0
RESloss,0.0
TBDmultiplier,0.0
M_Imultiplier,0.0
ShoshoneDMND,0.0
ENVflows,0.0
EVAdelta,0.0
XBM_mu0,0.0
XBM_sigma0,0.0
XBM_mu1,0.0
XBM_sigma1,0.0
XBM_p00,0.0
XBM_p11,0.0
shift,0.0
