,0,1,2,3,4,5,6,7,8,9,10,11,12
5104634,34007.0,27735.0,33818.0,34013.0,30772.0,33747.0,33281.0,34487.0,32727.0,33818.0,33818.0,32727.0,394950.0
5104655,6162.0,3039.0,1949.0,1588.0,1254.0,1492.0,4116.0,24034.0,41309.0,23045.0,12061.0,8078.0,128127.0
3604684,17245.0,9434.0,8343.0,8901.0,9797.0,13282.0,26998.0,22852.0,31093.0,27164.0,23135.0,28156.0,226400.0
3804625SU,2073.0,421.0,209.0,207.0,205.0,233.0,1804.0,32938.0,52852.0,38391.0,12298.0,2949.0,144580.0
3804617,663.0,535.0,304.0,209.0,164.0,184.0,617.0,11766.0,34182.0,14586.0,3770.0,1018.0,67998.0
3704614,14010.0,3735.0,0.0,0.0,1806.0,9795.0,16977.0,8997.0,9843.0,8190.0,3687.0,5596.0,82636.0
